,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
10,19,60,7,28,14,12,0,4,0,10,1,22,-2,8,13,25,6,33,0,15,21,19,2,16,12,21,8,16,3,36,3,42,46,64,51,64,54.0,72.0,29.0,41.0,28.0,33.0,38.0,50.0,29.0,25.0,0.0,20.0,20.0,22.0,45.0,84.0,58.0,92.0,59.0,101.0,64.0,61.0,59.0,62.0,49.0,44.0,49.0,57.0,25.0,27.0,11.0,11.0,2.0,2.0,-6.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,43,27,34,10,20,28,23,16,36,0,20,9,13,15,73,63,88,24,31,15,64,47,57,44,36,13,28,40,26,32,21,34,139,75,92,0.0,0.0,-86.0,-66.0,-162.0,-133.0,-360.0,-364.0,-401.0,-405.0,-397.0,-396.0,-392.0,-362.0,-412.0,-266.0,-469.0,-485.0,-486.0,-444.0,-523.0,-405.0,-467.0,-433.0,-518.0,-500.0,-732.0,-723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,35,34,30,38,26,48,-4,37,35,48,27,20,7,30,1,5,11,13,1,51,48,69,57,65,40,81,79,91,-2,-10,-83,-67,-97,-41,-35,-34,-51.0,-42.0,-77.0,-31.0,-107.0,-96.0,-80.0,-72.0,-77.0,-74.0,-106.0,-147.0,-168.0,-71.0,-113.0,-82.0,-81.0,-83.0,-129.0,-54.0,-175.0,-153.0,-166.0,-162.0,-196.0,-155.0,-150.0,-166.0,-161.0,-21.0,-34.0,0.0,-462.0,-535.0,-579.0,-508.0,-601.0,-627.0,-669.0,-624.0,-783.0,-749.0,-870.0,-877.0,-888.0,-880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,29,30,20,13,26,23,27,27,34,21,53,46,71,-26,34,5,33,0,15,31,62,-87,-63,-101,-46,-121,-66,-76,-2,6,23,-32,41,45,91,75.0,183.0,67.0,65.0,79.0,124.0,169.0,169.0,134.0,152.0,133.0,123.0,144.0,241.0,120.0,237.0,205.0,233.0,243.0,225.0,214.0,234.0,140.0,138.0,147.0,149.0,99.0,121.0,83.0,111.0,88.0,181.0,171.0,206.0,200.0,253.0,191.0,168.0,193.0,322.0,264.0,359.0,282.0,293.0,164.0,208.0,210.0,291.0,276.0,406.0,358.0,429.0,207.0,371.0,316.0,362.0,305.0,432.0,431.0,603.0,621.0,628.0,650.0,733.0,435.0,750.0,647.0,669.0,625.0,679.0,651.0,712.0,673.0,739.0,681.0,778.0,727.0,774.0,710.0,757.0,850.0,870.0,935.0,887.0,832.0,961.0,890.0,949.0,941.0,959.0,987.0,1222.0,890.0,961.0,905.0,905.0,936.0,,,,,,,,,,,,,,,,,
14,28,45,41,52,-4,6,19,25,19,19,1,17,-15,4,9,27,12,12,6,8,13,5,9,46,22,36,21,88,68,58,81,78,113,105,76,258,202.0,299.0,283.0,283.0,137.0,137.0,148.0,160.0,153.0,181.0,160.0,166.0,120.0,123.0,159.0,184.0,170.0,175.0,112.0,188.0,212.0,157.0,151.0,225.0,132.0,155.0,81.0,113.0,84.0,87.0,23.0,185.0,131.0,132.0,118.0,128.0,102.0,162.0,141.0,239.0,231.0,361.0,360.0,388.0,350.0,351.0,374.0,381.0,357.0,389.0,282.0,312.0,273.0,338.0,306.0,331.0,419.0,402.0,443.0,423.0,498.0,634.0,605.0,662.0,629.0,750.0,675.0,689.0,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,50,43,49,38,47,47,57,50,58,-5,-2,-11,35,11,46,35,41,25,26,37,46,31,40,22,31,7,25,10,30,-1,12,14,37,35,72,28.0,28.0,20.0,28.0,21.0,30.0,11.0,32.0,17.0,17.0,14.0,20.0,11.0,10.0,12.0,25.0,0.0,17.0,8.0,25.0,12.0,22.0,29.0,14.0,-7.0,-1.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,52.0,0.0,67.0,44.0,45.0,53.0,82.0,34.0,31.0,20.0,59.0,41.0,43.0,38.0,59.0,50.0,62.0,18.0,58.0,-96.0,-72.0,-59.0,-101.0,-71.0,-46.0,-202.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-18.0,-4.0,-5.0,-3.0,0.0,0.0,-79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
16,23,19,19,33,28,59,49,68,60,62,52,52,45,67,40,72,44,51,56,64,70,69,68,81,57,64,64,89,76,88,77,140,142,150,148,160,164.0,166.0,84.0,134.0,101.0,131.0,82.0,105.0,102.0,87.0,86.0,211.0,145.0,114.0,23.0,95.0,79.0,56.0,52.0,80.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-13.0,-22.0,-14.0,-14.0,-15.0,-33.0,-5.0,-8.0,-5.0,-37.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30,43,28,30,-1,9,2,9,13,17,-9,11,-3,-1,-11,22,-23,17,-52,19,16,36,21,32,45,93,-1,44,43,34,30,25,-28,0,-55,-34,-46.0,71.0,31.0,30.0,68.0,132.0,149.0,165.0,96.0,152.0,66.0,61.0,59.0,285.0,28.0,43.0,37.0,44.0,14.0,14.0,4.0,12.0,13.0,11.0,8.0,20.0,7.0,76.0,2.0,9.0,9.0,8.0,8.0,6.0,1.0,9.0,0.0,2.0,0.0,12.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30,42,20,37,-3,13,7,26,11,28,18,28,2,20,5,24,11,13,11,26,21,160,164,151,167,321,73,130,9,10,22,25,20,28,28,17,22.0,23.0,15.0,71.0,81.0,80.0,88.0,81.0,66.0,70.0,64.0,58.0,11.0,10.0,2.0,21.0,11.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,24,46,23,51,35,54,29,43,36,41,16,48,25,36,-5,27,0,-8,-45,-38,-70,-81,-96,-68,-144,-130,-114,-69,-298,-298,-300,-295,-301,-293,-337,-293,-326.0,-327.0,-340.0,-267.0,-308.0,-205.0,-188.0,-183.0,-501.0,-481.0,-556.0,-529.0,-537.0,-444.0,-554.0,-471.0,-562.0,-576.0,-594.0,-322.0,-425.0,-419.0,-455.0,-436.0,-463.0,-376.0,-503.0,-388.0,-537.0,-531.0,-641.0,-680.0,-749.0,-718.0,-743.0,-772.0,-801.0,-739.0,-717.0,-675.0,-721.0,-759.0,-755.0,-741.0,-773.0,-785.0,-898.0,-745.0,-824.0,-906.0,-893.0,-938.0,-1024.0,-1073.0,-9994.0,-1741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
