,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
10,17,34,37,49,20,49,30,56,24,38,20,48,20,37,20,38,20,24,10,37,0.0,15.0,3.0,0.0,-7.0,12.0,7.0,14.0,4.0,12.0,5.0,10.0,0.0,4.0,8.0,20.0,-11.0,14.0,9.0,-3.0,0.0,0.0,0.0,8.0,9.0,12.0,7.0,9.0,13.0,30.0,27.0,39.0,31.0,47.0,23.0,45.0,47.0,68.0,31.0,70.0,63.0,71.0,50.0,61.0,60.0,87.0,42.0,35.0,28.0,25.0,17.0,107.0,114.0,233.0,237.0,277.0,87.0,280.0,326.0,434.0,491.0,561.0,584.0,636.0,752.0,758.0,760.0,760.0,761.0,788.0,870.0,914.0,954.0,1049.0,1270.0,1302.0,1306.0,1380.0,1475.0,1475.0,1476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,26,46,30,43,26,46,45,65,45,58,36,44,41,58,49,136,122,142,126,96,22.0,0.0,0.0,146.0,47.0,73.0,80.0,60.0,85.0,91.0,59.0,33.0,12.0,0.0,0.0,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,26,26,46,37,49,49,30,12,33,28,53,60,42,27,35,20,44,18,45,32.0,35.0,37.0,37.0,12.0,44.0,13.0,27.0,15.0,61.0,48.0,45.0,41.0,98.0,74.0,64.0,64.0,61.0,0.0,70.0,57.0,87.0,59.0,76.0,54.0,120.0,114.0,120.0,65.0,97.0,64.0,92.0,0.0,8.0,7.0,55.0,-42.0,-26.0,-20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21,34,25,34,32,56,26,38,36,50,29,45,36,36,25,41,60,43,50,33,44.0,52.0,55.0,73.0,38.0,28.0,26.0,38.0,44.0,94.0,82.0,100.0,80.0,101.0,98.0,127.0,88.0,89.0,64.0,88.0,85.0,95.0,87.0,94.0,77.0,97.0,51.0,71.0,62.0,67.0,43.0,80.0,16.0,29.0,13.0,28.0,29.0,36.0,2.0,39.0,12.0,49.0,44.0,42.0,33.0,24.0,12.0,60.0,45.0,44.0,55.0,83.0,100.0,90.0,86.0,89.0,72.0,222.0,231.0,287.0,193.0,181.0,137.0,113.0,56.0,61.0,19.0,39.0,15.0,26.0,11.0,168.0,133.0,128.0,56.0,74.0,69.0,173.0,148.0,168.0,130.0,288.0,99.0,175.0,178.0,243.0,246.0,371.0,382.0,380.0,38.0,22.0,17.0,12.0,9.0,8.0,2.0,13.0,-2.0,-1.0,-21.0,-15.0,-14.0,-12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38,37,41,66,32,37,12,21,11,66,43,75,52,50,36,60,44,71,-18,12,12.0,11.0,-3.0,17.0,26.0,62.0,20.0,43.0,-9.0,16.0,-20.0,-7.0,-22.0,29.0,-23.0,-7.0,-92.0,0.0,-112.0,-94.0,-88.0,-103.0,-107.0,-109.0,-122.0,-115.0,-121.0,-132.0,-114.0,-127.0,-128.0,-140.0,-110.0,-126.0,-139.0,-132.0,-159.0,-128.0,-133.0,-52.0,-80.0,-57.0,-59.0,-64.0,-62.0,-53.0,-70.0,-56.0,-59.0,-60.0,-60.0,-58.0,-37.0,-35.0,-99.0,-59.0,-77.0,-46.0,-68.0,-68.0,-88.0,-81.0,-88.0,-68.0,-73.0,-68.0,-74.0,-63.0,-62.0,-46.0,-31.0,-32.0,-125.0,-49.0,-21.0,-38.0,-24.0,-20.0,-15.0,-19.0,-12.0,-18.0,-8.0,-7.0,-12.0,-8.0,-5.0,-9.0,-2.0,0.0,0.0,0.0,-4.0,-2.0,0.0,-3.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,-19.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
15,31,34,40,45,40,48,57,62,36,46,37,20,23,52,20,39,33,57,35,37,33.0,52.0,57.0,93.0,77.0,77.0,31.0,75.0,40.0,100.0,112.0,118.0,116.0,134.0,116.0,188.0,160.0,177.0,152.0,277.0,274.0,333.0,363.0,390.0,322.0,335.0,321.0,336.0,325.0,404.0,415.0,411.0,441.0,662.0,646.0,646.0,659.0,669.0,650.0,722.0,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,34,32,23,31,14,15,0,12,9,25,-33,0,-3,27,-29,0,-19,9,-47,35,-27.0,5.0,-11.0,-2.0,-5.0,0.0,-2.0,0.0,-46.0,5.0,-28.0,-24.0,-63.0,65.0,-32.0,-9.0,-25.0,-13.0,-62.0,-24.0,-59.0,-95.0,-68.0,-78.0,-108.0,-79.0,-83.0,-54.0,-59.0,-51.0,-92.0,-57.0,-137.0,-134.0,-82.0,-91.0,-112.0,0.0,-54.0,0.0,-11.0,0.0,-41.0,-22.0,-38.0,-22.0,-66.0,-57.0,-53.0,-61.0,-150.0,-168.0,-247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30,86,89,70,70,88,40,58,42,75,16,66,21,37,11,35,5,20,-87,-55,-113.0,-73.0,-102.0,-88.0,-164.0,-147.0,-202.0,-200.0,-283.0,-212.0,-250.0,-231.0,-261.0,-209.0,-380.0,-390.0,-781.0,9.0,-765.0,-778.0,-777.0,-790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-14,9,-5,1,0,7,-10,38,0,11,21,37,32,57,0,13,-8,-3,-25,-16,-47.0,-59.0,-54.0,-55.0,-101.0,-87.0,-114.0,-103.0,-109.0,4.0,-15.0,24.0,-26.0,-30.0,-21.0,-47.0,-112.0,-32.0,-55.0,-23.0,-12.0,-32.0,-57.0,0.0,-9.0,0.0,1.0,39.0,46.0,23.0,0.0,0.0,0.0,169.0,0.0,29.0,26.0,22.0,0.0,0.0,0.0,52.0,62.0,46.0,47.0,57.0,40.0,253.0,257.0,325.0,393.0,387.0,351.0,453.0,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,31,67,42,43,37,80,37,37,52,54,62,60,49,78,76,69,78,93,59,143,148.0,129.0,132.0,175.0,156.0,152.0,152.0,167.0,155.0,204.0,156.0,211.0,176.0,173.0,160.0,163.0,153.0,142.0,70.0,83.0,28.0,39.0,0.0,29.0,17.0,26.0,13.0,33.0,0.0,82.0,53.0,59.0,32.0,23.0,20.0,36.0,2.0,-2.0,-11.0,12.0,0.0,3.0,0.0,1.0,0.0,8.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30,54,44,53,35,64,49,60,56,80,74,77,62,74,70,58,65,62,39,75,49.0,86.0,64.0,79.0,60.0,62.0,31.0,35.0,21.0,50.0,37.0,50.0,45.0,112.0,69.0,157.0,156.0,171.0,155.0,205.0,190.0,189.0,204.0,199.0,195.0,208.0,179.0,178.0,156.0,198.0,160.0,217.0,226.0,214.0,208.0,235.0,241.0,345.0,254.0,351.0,334.0,368.0,323.0,464.0,487.0,460.0,368.0,344.0,327.0,326.0,281.0,307.0,257.0,242.0,250.0,270.0,279.0,406.0,291.0,412.0,462.0,527.0,575.0,670.0,266.0,421.0,308.0,494.0,512.0,587.0,564.0,605.0,562.0,564.0,201.0,167.0,199.0,207.0,126.0,117.0,59.0,80.0,64.0,204.0,212.0,225.0,169.0,407.0,488.0,459.0,517.0,806.0,877.0,917.0,1021.0,1052.0,1155.0,1216.0,1221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,37,35,46,25,41,29,25,24,47,37,37,37,50,33,46,40,50,31,40,35.0,58.0,45.0,60.0,7.0,32.0,42.0,31.0,31.0,71.0,82.0,123.0,36.0,62.0,58.0,63.0,32.0,41.0,5.0,51.0,-52.0,-30.0,-24.0,12.0,-133.0,-115.0,-156.0,-137.0,-131.0,-118.0,-144.0,-109.0,-165.0,-199.0,-315.0,-293.0,-295.0,-261.0,-265.0,-269.0,-279.0,-272.0,-276.0,-262.0,-356.0,-340.0,-428.0,-415.0,-433.0,-440.0,-468.0,-498.0,-524.0,-484.0,-507.0,-361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
