,Std_CP
0,16.64456868370781
1,7.482021462231335
2,65.22334878916237
3,25.636481167794198
4,29.656620187872758
5,30.46016369917675
6,51.38872050594464
7,15.551531717499953
8,36.07060347948381
9,48.230539559873876
10,42.80881147173604
11,26.20483826294482
12,22.795284600109735
13,26.60681228356843
14,110.86562067770308
15,117.95301189564762
16,14.851957620505464
17,33.29406879027098
18,62.18738767982362
19,30.207481179203256
20,66.89528297168073
21,24.014166511388954
22,59.60980822877367
23,94.79155634042071
24,26.127654669890962
25,20.9636249736898
26,90.86772269189366
27,10.16150370936644
28,85.56304018765255
29,23.836958800121916
30,41.42376819446261
31,83.45688145017414
32,25.768234202975453
33,32.60324822577952
34,12.242457995753051
35,98.5460467666427
36,110.7684095443976
37,27.578228951860048
38,38.66676213376537
39,80.85136073355561
40,40.38576005703762
41,20.194294337993682
42,49.048093319479136
43,36.021082083002185
44,33.5423117981021
45,179.73287500952455
46,27.09883916196469
47,65.84275492808878
48,85.24832128582521
49,121.77794491560397
50,92.29794286120496
51,79.11124510816464
52,42.27061020590414
53,85.33643568032969
54,63.95092491685165
55,58.65606944518717
56,54.321946881932334
57,10.846931085726258
58,112.51688045398689
59,19.88219271865121
60,25.73348802659751
61,45.46118262521399
62,22.522270157806577
63,27.179332755464365
64,45.85263956472724
65,12.444565136075465
66,35.72584969369289
67,8.059856718489518
68,77.9284928636503
69,97.38445904200128
70,9.275125712854102
71,36.215135021780064
72,19.705799866716823
73,14.329736729043825
74,81.73950230188058
75,80.01062173164138
76,64.22190593536168
77,74.85726514459058
78,59.11528403655597
79,26.567837698992367
80,52.54398830571112
81,50.09892734389034
82,108.80508009530371
83,17.470887225681725
84,31.547574587685684
85,13.59280271740474
86,113.0440488891269
87,13.80407117311342
88,32.781779747391624
89,65.64480958644808
90,171.49418440697124
91,28.74695574121657
92,26.65654569841015
93,89.91391103074068
94,82.61124595202809
95,65.99421485674198
96,132.46184165939383
97,25.284002613853286
98,245.64005060484922
99,94.29021423922406
100,108.40145161686571
