,Std_CP
0,64.28908679364717
1,62.55620330094029
2,52.57588932135181
3,10.81225591857594
4,12.095831665764123
5,61.564466502703354
6,22.81729343923239
7,6.633464328904545
8,30.332471178679107
9,15.594521556113948
10,86.20962362955314
11,15.570255304314887
12,30.95554718688306
13,20.247048155269017
14,36.12781780317238
15,6.43255608430877
16,8.825097899806918
17,17.188230170970375
18,73.73951489931179
19,44.503820060754336
20,33.40007810456892
21,26.094011494928022
22,12.393792702840228
23,18.871302297938207
24,24.42127272498173
25,23.49818895437417
26,9.419792789378379
27,29.01355811722941
28,65.047905038323
29,33.33997035374215
30,17.63336934013787
31,12.584865758276731
32,9.568303873957502
33,8.95060335913791
34,26.18816671242138
35,31.555242564957936
36,9.416603092044575
37,23.01447426384156
38,13.436782592450532
39,6.59679066355933
40,22.97734897613738
41,10.847839888756695
42,15.373235301535058
43,20.053394746850614
44,11.115330616434388
45,55.626113616978785
46,19.098397327728964
47,41.594631388243926
48,14.51855814004785
49,30.24347458712442
50,14.091228398192786
51,9.288904378737541
52,7.232309887325509
53,22.126727964059217
54,21.458330146121174
55,27.634745415493775
56,81.97424392250694
57,9.81856309164783
58,44.97821806442121
