,Std_CP
0,26.404621572823956
1,8.011031355363892
2,32.89638998230043
3,17.711441406479505
4,11.424269660780514
5,14.764748056115817
6,57.30144774766598
7,23.194114920965767
8,14.108008273172276
9,35.050802779825226
10,56.82078934775636
11,18.042891075638263
12,43.4423897189116
13,17.90342683141114
14,11.255829320565127
15,15.138040898942785
16,21.77933644072563
17,21.442872212170702
18,117.51843826963213
19,26.33772343380641
20,25.642276897290845
21,12.697316596017272
22,7.455666068282507
23,25.292270058877335
24,19.71143172224028
25,24.718846015026795
26,13.79130160644745
27,30.95732368478113
28,39.17890445918376
29,57.64960387630148
30,28.622982060589298
31,41.027491523717906
32,31.341019666597827
33,11.94796848146433
34,20.897213890542844
35,16.012495120998476
36,65.606830114215
37,70.86711702801284
38,119.65792857890726
39,14.038408851323682
40,121.09030337948613
41,16.746289990270323
42,147.45883448439034
43,67.715190128998
44,72.20396556753764
45,106.97676279350473
46,192.9962351913362
47,45.68399192982228
48,118.23592615712974
49,96.25555143884273
50,15.965404887625194
51,36.002447469251635
52,41.51559278686075
53,73.53210266019033
54,18.124152963239986
55,73.9508572832614
56,22.88604955792537
57,35.39100190547049
58,58.39358972314268
59,82.93773817567437
60,11.66303798443849
61,60.31803441141884
62,46.16012971989545
63,36.51840999381849
64,41.657477774649955
65,21.006911305107305
66,140.0000529100429
67,75.12529217120904
68,64.66467980328252
69,29.101557247842802
70,136.36212601659122
71,95.15639757788227
72,37.10520044654459
73,18.128131913318224
74,36.45381420935239
75,21.33108848139644
76,24.627911271673902
77,35.13820845879443
78,60.05287797612014
79,16.563602904455013
80,20.27376731211151
81,95.14878699524586
82,69.23195867924078
83,27.745931818126774
84,67.67742861127589
85,18.974108232451485
86,32.69434527201849
87,142.73429507864125
88,89.52398110632302
89,136.31553144900724
90,24.76773640344476
91,70.57608629854202
92,33.98545930687975
93,22.842537350413636
94,40.5472623959359
95,128.92252418169338
96,96.97808621719241
97,131.1160694038453
98,27.58092330974961
99,153.0214645971309
100,44.89859238198452
101,16.088388264018178
102,24.544025655998222
103,14.183857662209466
104,9.374977124155103
105,33.14543648343493
106,44.47314773619263
107,87.48693623153686
108,86.5046622017163
109,40.803528598982055
110,114.2811547727023
111,78.1699017406728
112,31.256460423960537
113,134.6768366874425
114,60.630248449326245
115,103.86970279331236
116,99.27292329982335
117,124.01051730946591
118,67.93455704134706
119,21.943893314120736
120,79.21982709041167
121,12.360533795064223
122,88.40276956735406
123,80.79518777764015
124,110.9925920737551
125,100.51461385196222
126,49.430470648896616
127,35.3991822236348
128,89.49974645430352
129,142.7514856898753
130,22.86357945086733
131,12.643034459587634
132,44.75047349524672
133,46.27518619241696
134,24.874107625374826
135,31.079091201479983
136,17.85493492843649
137,38.48830708531071
138,29.604107182202533
139,56.13370942075121
140,23.961994143611136
141,20.630754329242265
142,45.18596063216281
143,43.68828247529338
144,9.54256810615497
145,9.135673282018654
146,20.576917257196808
147,19.0460609844763
148,11.869249553671043
149,26.345410838871118
