,Std_CP
0,42.622399129601156
1,32.9654510860871
2,17.192678484070317
3,11.836238918006762
4,24.469442641556146
5,60.128860281146835
6,20.315584867429912
7,13.87005748451159
8,17.649220590968643
9,51.88200184098365
10,18.998850701706665
11,20.60208680068004
12,23.904313858253037
13,19.271301578153174
14,13.005229517654833
15,53.30145827785066
16,17.55704986607944
17,56.867905976558795
18,23.22355126446714
19,31.327641825869872
20,22.2332512313755
21,16.883678090350635
22,19.30714286904632
23,43.050593215986154
24,42.13163397532484
25,35.40228201362526
26,25.1787938535393
27,71.72950654478383
28,49.74188662899973
29,20.668758089822663
30,16.17836264859389
31,9.12961908455191
32,44.084334762232395
33,10.533145108531372
34,14.96180321871517
35,45.83816713326971
36,48.55666792521909
37,12.893260539577664
38,32.03428869467704
39,50.734705268723935
40,38.220547568163596
41,43.91283109404219
42,89.2278424581823
43,17.733476902941515
44,41.17738052215885
45,13.123272833217806
46,138.13596980455944
47,31.568794274248482
48,24.232616790079522
49,74.81745852967967
50,69.4280970194179
51,28.38671749707176
52,95.38505476996588
53,58.922204092389485
54,41.55118782804356
55,52.26690519373682
56,36.99751570481181
57,34.40555280026848
58,47.37645162962382
59,68.20370576607982
60,79.7591322770357
61,16.22283795704288
62,61.909904993759575
63,39.581575169467115
64,43.27680094954174
65,143.72745600335173
66,22.379784110712638
67,5.818075283115543
68,145.29136466136345
69,26.343142316094937
70,90.54591263597695
71,31.5237091343746
72,10.992082712249807
73,30.031811980778986
74,28.210784656356473
75,27.026848964904357
76,41.87848860462621
77,65.57175366000807
78,50.19527178290926
79,18.36124908551419
80,49.215045358662145
81,66.49968909635842
82,75.89705351194846
83,71.25558881377704
84,32.742007532206344
85,12.662106750790775
86,32.03409751819922
87,53.24600224886271
88,34.57130633348694
89,21.00520582330003
90,21.37082542830715
91,41.27663781514275
92,26.61652955638079
93,42.7327766015553
94,41.61114800787975
95,10.003029844032561
96,14.560219778561036
97,29.54696575765219
98,42.37206680650054
99,30.16483083041383
100,52.40869454935714
101,57.24737404618752
102,22.415095164376826
103,45.03966665707735
104,12.95226765630279
105,13.52356090337856
106,21.81924923311465
107,24.07032551524766
108,62.21372136785246
109,15.268297560110243
110,11.62521593974261
111,18.608366571822103
112,17.59796879606071
113,16.43766484014154
114,55.696230108591536
115,84.86901078683246
116,31.12316191728387
117,18.296740340036177
118,18.40789311954329
119,10.952743265228744
120,25.214036151469664
121,123.7521722845215
122,20.5238748103139
123,18.430748034691362
124,26.990293742087236
125,8.488070951921202
126,20.939236206300023
127,12.277256797947928
128,22.375263610791755
129,11.08193103219375
130,35.18403994237539
131,20.95644086654753
132,14.594836439433024
133,22.3691904596072
134,13.431861448093647
135,22.453400537146063
136,110.8421482026662
137,92.14658567934937
138,73.44698532337463
139,15.624378775529353
140,57.32400227752245
141,55.87540703306877
142,78.64302876940825
143,25.12683790677364
144,115.40781644128218
145,38.777894011132425
146,85.16867004305256
147,66.30068101483049
148,82.20744863082426
149,46.02701070334368
150,43.24685241612895
151,90.41085504862076
152,15.198293331675998
153,63.58801329995643
154,31.17781418831307
155,27.157082738341813
156,13.611677992730279
157,53.08295677804977
158,12.925169244539894
159,13.210305805967533
160,24.163142826717884
161,10.525446991617379
162,18.47134202461955
163,16.35411700022789
164,41.916605093103556
165,46.65704401769143
166,28.237883220604335
167,9.026257991733525
168,107.16578779104128
169,35.12159393513082
170,47.294783920214115
171,41.524980187735636
172,15.643687663576314
173,23.630598392519158
174,41.07401112922747
175,14.15998866647466
176,75.48468750630943
177,26.76721156979164
178,69.9084635599362
179,77.6669959645437
180,56.487864767393916
181,35.931002571773696
182,45.629090910100665
183,34.721536279160816
184,132.40031554828937
185,178.9377172836031
186,73.35179188227391
187,29.67958976772569
188,20.96550864044449
189,26.973158148503884
190,55.711500397994534
191,34.27407108574784
192,12.658894858857904
193,75.23578622844161
194,46.8333363364715
195,78.12433608109504
196,24.244963476323363
197,20.239921239093444
198,18.319564722255365
199,78.57372610983018
200,28.562618093197585
201,38.53371655872238
202,11.374274084663968
203,27.135748325950075
204,14.935935018677437
205,13.596981158080304
206,59.099613245048275
207,33.21624226188147
208,79.74223896608795
209,17.505245312345046
210,14.887408123475375
211,24.847338769019892
212,47.19707232830905
213,16.223105542378548
214,13.875920743164695
215,14.961875133481144
216,9.494843167932041
217,19.346452032837714
218,24.07659332441314
219,139.20332329866017
220,18.854637479870956
221,18.576387024450028
222,224.11653131316115
223,127.38967643030162
224,29.658478112575015
225,92.09116567672996
226,79.98563327630934
227,101.68261579225013
228,56.29535071822925
229,108.52611348284938
230,20.619687135951917
231,31.527359392183524
232,32.35862551409269
233,98.97253350597732
234,16.68308233412943
