,Mean_CP
0,24.157894736842106
1,18.157894736842106
2,13.8125
3,12.818181818181818
4,19.58823529411765
5,11.818181818181818
6,20.615384615384617
7,11.308823529411764
8,10.435897435897436
9,18.771428571428572
10,15.285714285714286
11,40.40816326530612
12,12.181818181818182
13,19.833333333333332
14,10.166666666666666
15,20.51219512195122
16,10.333333333333334
17,11.448275862068966
18,9.275862068965518
19,38.13157894736842
20,27.61764705882353
21,32.27272727272727
22,10.617647058823529
23,6.088888888888889
24,48.13725490196079
25,31.43010752688172
26,33.38333333333333
27,50.078125
28,20.757575757575758
29,24.258064516129032
30,55.6
31,25.5
32,9.758620689655173
33,9.408450704225352
34,9.193548387096774
35,68.79310344827586
36,38.21052631578947
37,11.6
38,41.0
39,17.0
40,10.342105263157896
41,5.851851851851852
42,13.16
43,21.327272727272728
44,22.857142857142858
45,9.25
46,30.4
47,16.757575757575758
48,9.447368421052632
49,9.614035087719298
50,17.333333333333332
51,37.3421052631579
52,8.661290322580646
53,23.12121212121212
54,26.79032258064516
55,26.055555555555557
56,21.555555555555557
57,18.195652173913043
58,15.435897435897436
59,31.594202898550726
60,51.81967213114754
61,4.836734693877551
62,35.55
63,34.66216216216216
64,19.651162790697676
65,48.05555555555556
66,17.64
67,46.592592592592595
68,19.68
69,11.882352941176471
70,43.333333333333336
71,10.568965517241379
72,54.833333333333336
73,38.354166666666664
74,78.6774193548387
75,51.38461538461539
76,69.93333333333334
77,23.151515151515152
78,27.318181818181817
79,36.27058823529412
80,11.26086956521739
81,36.75675675675676
82,25.97826086956522
83,68.73333333333333
84,18.815384615384616
85,10.67741935483871
86,6.260869565217392
87,12.0
88,19.8135593220339
89,11.311111111111112
90,14.28125
91,12.333333333333334
92,36.523809523809526
93,23.043478260869566
94,8.90625
95,13.571428571428571
96,9.096774193548388
97,11.578125
98,25.743243243243242
99,17.59375
100,8.4375
101,17.724137931034484
102,25.06451612903226
103,6.25
104,19.653061224489797
105,9.9
106,12.49056603773585
107,16.25
108,12.03225806451613
109,24.19047619047619
110,21.718309859154928
111,46.2093023255814
112,35.4
113,23.53125
114,13.829268292682928
