,Mean_CP
0,9.76086956521739
1,10.931034482758621
2,7.869565217391305
3,18.764705882352942
4,5.472222222222222
5,11.120481927710843
6,8.08108108108108
7,9.743589743589743
8,4.371428571428571
9,59.28169014084507
10,19.151515151515152
11,13.934782608695652
12,13.488888888888889
13,15.8125
14,30.724137931034484
15,17.689655172413794
16,16.76923076923077
17,12.28125
18,32.91304347826087
19,23.870967741935484
20,15.689655172413794
21,45.7037037037037
22,23.743589743589745
23,17.6875
24,15.857142857142858
25,5.891891891891892
26,32.90277777777778
27,40.31666666666667
28,14.5
29,20.75
30,46.92307692307692
31,18.285714285714285
32,20.288888888888888
33,19.891304347826086
34,7.046153846153846
35,29.725
36,10.015384615384615
37,16.367346938775512
38,41.869565217391305
39,21.11320754716981
40,13.526315789473685
41,8.709090909090909
42,57.108695652173914
43,32.75
44,20.03125
45,13.892857142857142
46,25.974358974358974
47,36.04081632653061
48,41.78048780487805
49,24.41176470588235
50,23.282608695652176
51,48.2
52,15.8
53,18.282608695652176
54,19.3125
55,67.76744186046511
56,19.224489795918366
57,8.266666666666667
58,14.851851851851851
59,15.660377358490566
60,12.625
61,10.836363636363636
62,16.060606060606062
63,9.040816326530612
64,6.088235294117647
65,9.708333333333334
66,14.774193548387096
67,5.825
68,19.64
69,12.89655172413793
70,4.611111111111111
71,26.08823529411765
72,5.878048780487805
73,20.5
74,23.379310344827587
75,9.36
76,28.91111111111111
77,20.34375
78,11.18
79,9.838709677419354
80,11.13888888888889
81,13.275862068965518
82,25.303571428571427
83,11.755102040816327
84,16.38888888888889
85,36.23076923076923
86,25.80952380952381
87,34.724137931034484
88,13.738095238095237
89,34.47826086956522
90,14.578125
91,23.142857142857142
92,14.379310344827585
93,52.57142857142857
94,17.64864864864865
95,17.329113924050635
96,15.27027027027027
97,59.19444444444444
98,20.11111111111111
99,23.12727272727273
100,36.0
101,9.970588235294118
102,48.527027027027025
103,65.59322033898304
104,11.115384615384615
105,25.2
106,33.31428571428572
107,20.61111111111111
108,19.235294117647058
109,14.608695652173912
110,12.95
111,8.789473684210526
112,6.051282051282051
113,7.26530612244898
114,8.916666666666666
115,7.351351351351352
116,33.93150684931507
117,87.8076923076923
118,12.86111111111111
119,11.857142857142858
120,38.793103448275865
121,24.523809523809526
122,38.311688311688314
123,18.93548387096774
124,19.234375
125,17.956043956043956
126,45.541666666666664
127,8.266666666666667
128,40.6578947368421
129,52.07142857142857
130,53.96875
131,38.13559322033898
132,28.384615384615383
133,34.0
134,17.176470588235293
135,58.42857142857143
136,13.34920634920635
137,14.56
138,56.35849056603774
139,27.625
140,36.301587301587304
141,29.885057471264368
142,10.16
143,48.13636363636363
144,33.58227848101266
145,21.725
146,85.34482758620689
147,22.675
148,17.896551724137932
149,31.595744680851062
150,40.266666666666666
151,23.294117647058822
152,21.76923076923077
153,38.51851851851852
154,18.513513513513512
155,22.163265306122447
156,6.108108108108108
157,37.70454545454545
158,8.1
159,25.333333333333332
160,29.488888888888887
161,66.94736842105263
162,10.217391304347826
163,10.925
164,35.92857142857143
165,21.55263157894737
166,9.161290322580646
167,48.53658536585366
168,54.58620689655172
169,7.642857142857143
170,6.8
171,6.4222222222222225
172,18.41269841269841
173,22.785714285714285
174,5.974025974025974
175,22.675675675675677
176,17.602941176470587
177,6.534246575342466
178,19.076923076923077
179,47.44444444444444
180,6.217391304347826
181,16.974358974358974
182,40.01851851851852
183,10.533333333333333
184,29.816901408450704
185,11.728260869565217
186,12.651515151515152
187,14.145833333333334
188,27.94
189,42.97142857142857
190,7.233333333333333
191,9.866666666666667
192,28.942857142857143
193,44.916666666666664
194,29.84269662921348
195,49.628571428571426
196,14.951219512195122
197,26.816326530612244
198,11.925925925925926
199,7.967741935483871
200,15.310344827586206
201,25.77777777777778
202,18.0
203,12.851851851851851
204,11.580645161290322
205,11.046153846153846
