,Mean_CP
0,15.066666666666666
1,36.64
2,16.9
3,11.32258064516129
4,14.5
5,18.647058823529413
6,21.264150943396228
7,31.666666666666668
8,12.38888888888889
9,22.137931034482758
10,24.914893617021278
11,23.263157894736842
12,10.045454545454545
13,18.91304347826087
14,37.320754716981135
15,28.872340425531913
16,14.307692307692308
17,13.442857142857143
18,27.511627906976745
19,15.871794871794872
20,35.14666666666667
21,13.957446808510639
22,38.58
23,54.8421052631579
24,17.814814814814813
25,27.857142857142858
26,41.6551724137931
27,25.341463414634145
28,25.6875
29,18.319148936170212
30,15.079365079365079
31,9.925925925925926
32,24.454545454545453
33,77.3913043478261
34,20.011363636363637
35,36.4
36,40.01923076923077
37,37.62264150943396
38,25.08695652173913
39,24.692307692307693
40,9.794117647058824
41,18.0
42,27.026315789473685
43,19.5
44,19.06896551724138
45,52.121212121212125
46,17.1875
47,41.76470588235294
48,31.78409090909091
49,40.892857142857146
50,10.021739130434783
51,20.050847457627118
52,28.08823529411765
53,15.9375
54,42.354838709677416
55,19.045454545454547
56,12.58974358974359
57,44.82539682539682
58,4.107142857142857
59,34.53846153846154
60,30.28125
61,21.98148148148148
62,44.03921568627451
63,15.620689655172415
64,17.060606060606062
65,17.26086956521739
66,63.774193548387096
67,37.266666666666666
68,9.866666666666667
69,14.06
70,29.6
71,14.256410256410257
72,26.055555555555557
73,37.98529411764706
74,17.03030303030303
75,20.533333333333335
76,51.083333333333336
77,50.355932203389834
78,29.0
79,45.785714285714285
80,37.4
81,32.270270270270274
82,78.27777777777777
83,21.51219512195122
84,25.885714285714286
85,21.666666666666668
86,16.85185185185185
87,35.432432432432435
88,29.583333333333332
89,14.84
90,14.92
91,14.615384615384615
92,68.25714285714285
93,21.974358974358974
94,5.115384615384615
95,31.88
96,29.53061224489796
97,4.911111111111111
98,21.886363636363637
99,56.666666666666664
100,32.101694915254235
101,13.903225806451612
102,34.27272727272727
103,54.52
104,12.458333333333334
105,24.282608695652176
106,47.80555555555556
107,10.08
108,29.413333333333334
109,47.943396226415096
110,27.508474576271187
111,30.63888888888889
112,16.24390243902439
113,25.325
114,10.5
115,44.73170731707317
116,10.461538461538462
117,43.976190476190474
118,27.681818181818183
119,52.411764705882355
120,14.435897435897436
121,15.222222222222221
122,9.763157894736842
123,28.976744186046513
124,39.31111111111111
125,25.714285714285715
126,34.97959183673469
127,19.692307692307693
128,38.888888888888886
129,16.742857142857144
130,14.341463414634147
131,22.666666666666668
132,25.28301886792453
133,47.89473684210526
134,63.80952380952381
135,8.952380952380953
136,9.0
137,33.47826086956522
138,14.033333333333333
139,13.292682926829269
140,16.68
141,35.0
142,41.13333333333333
143,21.566666666666666
144,47.06060606060606
145,19.676470588235293
146,47.27450980392157
147,10.875
148,34.0
149,11.21951219512195
150,12.775510204081632
151,16.692307692307693
152,11.571428571428571
