,Elo,OppElo
0,0,2402
1,0,2770
2,0,2529
3,0,2770
4,0,2569
5,0,2574
6,0,2770
7,0,2770
8,0,2600
9,0,2674
10,0,2777
11,0,2784
12,0,2749
13,0,2784
14,0,2679
15,0,2784
16,0,2625
17,0,2784
18,0,2671
19,0,2784
20,0,2668
21,0,2784
22,0,2743
23,0,2784
24,0,2767
25,0,2767
26,0,2763
27,0,2767
28,0,2698
29,0,2767
30,0,2762
31,0,2760
32,0,2627
33,0,2656
34,0,2760
35,0,2820
36,0,2760
37,0,2760
38,0,2770
39,0,2760
40,0,2765
41,0,2760
42,0,2678
43,0,2760
44,0,2792
45,0,2760
46,0,2760
47,0,2759
48,0,2753
49,0,2760
50,0,2770
51,0,2760
52,0,2820
53,0,2760
54,0,2763
55,0,2714
56,0,2760
57,0,2760
58,0,2759
59,0,2760
60,0,2792
61,0,2760
62,0,2765
63,0,2760
64,0,2760
65,0,2781
66,0,2638
67,0,2760
68,0,2749
69,0,2753
70,0,2738
71,0,2749
72,0,2776
73,0,2749
74,0,2749
75,0,2792
76,0,2782
77,0,2749
78,0,2753
79,0,2792
80,0,2749
81,0,2778
82,0,2749
83,0,2812
84,0,2749
85,0,2749
86,0,2776
87,0,2749
88,0,2749
89,0,2688
90,0,2749
91,0,2738
92,0,2749
93,0,2683
94,0,2749
95,0,2553
96,0,2625
97,0,2749
98,0,2749
99,0,2625
100,0,2625
101,0,2625
102,0,2749
103,0,2625
104,0,2749
105,0,2749
106,0,2608
107,0,2757
108,0,2757
109,0,2757
110,0,2749
111,0,2749
112,0,2714
113,0,2751
114,0,2709
115,0,2751
116,0,2655
117,0,2751
118,0,2710
119,0,2772
120,0,2772
121,0,2777
122,0,2777
123,0,2777
124,0,2594
125,0,2763
126,0,2639
127,0,2763
128,0,2651
129,0,2763
130,0,2659
131,0,2763
132,0,2659
133,0,2763
134,0,2800
135,0,2763
136,0,2766
137,0,2619
138,0,2766
139,0,2289
140,0,2766
141,0,2521
142,0,2681
143,0,2766
144,0,2635
145,0,2766
146,0,2766
147,0,2672
148,0,2626
149,0,2766
150,0,2618
151,0,2766
152,0,2766
153,0,2650
154,0,2548
155,0,2766
156,0,2676
157,0,2766
158,0,2624
159,0,2766
160,0,2766
161,0,2714
162,0,2766
163,0,2615
164,0,2761
165,0,2761
166,0,2477
167,0,2761
168,0,2677
169,0,2761
170,0,2537
171,0,2761
172,0,2682
173,0,2761
174,0,2573
175,0,2704
176,0,2576
177,0,2761
178,0,2664
179,0,2761
180,0,2615
181,0,2474
182,0,2761
183,0,2761
184,0,2680
185,0,2761
186,0,2674
187,0,2599
188,0,2760
189,0,2761
190,0,2760
191,0,2761
192,0,2761
193,0,2609
194,0,2761
195,0,2772
196,0,2761
197,0,2720
198,0,2761
199,0,2856
200,0,2682
201,0,2767
202,0,2761
203,0,2761
204,0,2713
205,0,2761
206,0,2761
207,0,2762
208,0,2761
209,0,2704
210,0,2761
211,0,2682
212,0,2778
213,0,2761
214,0,2753
215,0,2750
216,0,2759
217,0,2786
218,0,2750
219,0,2765
220,0,2750
221,0,2671
222,0,2776
223,0,2750
224,0,2750
225,0,2750
226,0,2750
227,0,2654
228,0,2750
229,0,2730
230,0,2750
231,0,2761
232,0,2750
233,0,2751
234,0,2750
235,0,2759
236,0,2759
237,0,2750
238,0,2750
239,0,2750
240,0,2730
241,0,2730
242,0,2750
243,0,2750
244,0,2776
245,0,2750
246,0,2750
247,0,2761
248,0,2761
249,0,2602
250,0,2570
251,0,2760
252,0,2624
253,0,2760
254,0,2652
255,0,2761
256,0,2761
257,0,2760
258,0,2773
259,0,2760
260,0,2678
261,0,2760
262,0,2680
263,0,2760
264,0,2766
265,0,2760
266,0,2680
267,0,2766
268,0,2760
269,0,2793
270,0,2760
271,0,2678
272,0,2760
273,0,2773
274,0,2760
275,0,2760
276,0,2760
277,0,2759
278,0,2760
279,0,2864
280,0,2760
281,0,2728
282,0,2754
