,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
47,10th Norway Armageddon,Stavanger NOR,2022.06.07,7.5,"Topalov,V",Wang Hao,0-1,2744,B33,2730
48,10th Norway Armageddon,Stavanger NOR,2022.06.09,8.5,"Radjabov,T",Wang Hao,1-0,2744,C48,2753
49,10th Norway Chess 2022,Stavanger NOR,2022.06.09,8.5,"Radjabov,T",Wang Hao,1/2-1/2,2744,C43,2753
50,10th Norway Chess 2022,Stavanger NOR,2022.06.10,9.3,Wang Hao,"So,W",1/2-1/2,2776,C67,2744
51,10th Norway Armageddon,Stavanger NOR,2022.06.10,9.3,Wang Hao,"So,W",1/2-1/2,2776,E29,2744
52,28th Abu Dhabi Masters,Abu Dhabi UAE,2022.08.17,1.1,"Ajay Krishna,S",Wang Hao,0-1,2735,D02,2367
53,28th Abu Dhabi Masters,Abu Dhabi UAE,2022.08.18,2.1,Wang Hao,"Muradli,Mahammad",1/2-1/2,2552,E00,2735
54,28th Abu Dhabi Masters,Abu Dhabi UAE,2022.08.18,3.11,"Sukandar,I",Wang Hao,1/2-1/2,2735,D86,2373
55,28th Abu Dhabi Masters,Abu Dhabi UAE,2022.08.19,4.15,Wang Hao,"Das,Arg",1-0,2446,C03,2735
56,28th Abu Dhabi Masters,Abu Dhabi UAE,2022.08.20,5.4,"Adhiban,Baskaran",Wang Hao,1/2-1/2,2735,E46,2598
