,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
57,GCT Rapid Paris 2021,Paris FRA,2021.06.18,1.5,"Bacrot,E","Rapport,R",1-0,2763,B10,2678
58,GCT Rapid Paris 2021,Paris FRA,2021.06.18,2.1,"So,W","Rapport,R",1-0,2763,E41,2770
59,GCT Rapid Paris 2021,Paris FRA,2021.06.18,3.4,"Rapport,R","Nepomniachtchi,I",1/2-1/2,2792,A05,2763
60,GCT Rapid Paris 2021,Paris FRA,2021.06.19,4.2,"Aronian,L","Rapport,R",1/2-1/2,2763,A47,2781
61,GCT Rapid Paris 2021,Paris FRA,2021.06.19,5.4,"Rapport,R","Vachier Lagrave,M",1/2-1/2,2760,D02,2763
62,GCT Rapid Paris 2021,Paris FRA,2021.06.19,6.3,"Firouzja,Alireza","Rapport,R",1/2-1/2,2763,B45,2759
63,GCT Rapid Paris 2021,Paris FRA,2021.06.20,7.3,"Rapport,R","Svidler,P",1-0,2714,E60,2763
64,GCT Rapid Paris 2021,Paris FRA,2021.06.20,8.4,"Radjabov,T","Rapport,R",1/2-1/2,2763,E12,2765
65,GCT Rapid Paris 2021,Paris FRA,2021.06.20,9.2,"Rapport,R","Caruana,F",1/2-1/2,2820,A08,2763
66,GCT Blitz Paris 2021,Paris FRA,2021.06.21,1.1,"Nepomniachtchi,I","Rapport,R",1/2-1/2,2763,B40,2792
67,GCT Blitz Paris 2021,Paris FRA,2021.06.21,2.1,"Rapport,R","Aronian,L",1/2-1/2,2781,A07,2763
68,GCT Blitz Paris 2021,Paris FRA,2021.06.21,3.1,"Caruana,F","Rapport,R",1/2-1/2,2763,B40,2820
69,GCT Blitz Paris 2021,Paris FRA,2021.06.21,4.1,"Rapport,R","Kramnik,V",1-0,2753,A05,2763
70,GCT Blitz Paris 2021,Paris FRA,2021.06.21,5.1,"Radjabov,T","Rapport,R",1/2-1/2,2763,A15,2765
71,GCT Blitz Paris 2021,Paris FRA,2021.06.21,6.1,"Rapport,R","Firouzja,Alireza",0-1,2759,A04,2763
72,GCT Blitz Paris 2021,Paris FRA,2021.06.21,7.1,"Vachier Lagrave,M","Rapport,R",1/2-1/2,2763,C02,2760
73,GCT Blitz Paris 2021,Paris FRA,2021.06.21,8.1,"Rapport,R","So,W",1/2-1/2,2770,A07,2763
74,GCT Blitz Paris 2021,Paris FRA,2021.06.21,9.1,"Svidler,P","Rapport,R",1-0,2763,B40,2714
75,GCT Blitz Paris 2021,Paris FRA,2021.06.22,10.1,"Rapport,R","Nepomniachtchi,I",1/2-1/2,2792,D38,2763
76,GCT Blitz Paris 2021,Paris FRA,2021.06.22,11.1,"Aronian,L","Rapport,R",1-0,2763,A48,2781
77,GCT Blitz Paris 2021,Paris FRA,2021.06.22,12.1,"Rapport,R","Caruana,F",1-0,2820,A08,2763
78,GCT Blitz Paris 2021,Paris FRA,2021.06.22,13.1,"Kramnik,V","Rapport,R",1/2-1/2,2763,B40,2753
79,GCT Blitz Paris 2021,Paris FRA,2021.06.22,14.1,"Rapport,R","Radjabov,T",1-0,2765,A07,2763
80,GCT Blitz Paris 2021,Paris FRA,2021.06.22,15.1,"Firouzja,Alireza","Rapport,R",0-1,2763,B40,2759
81,GCT Blitz Paris 2021,Paris FRA,2021.06.22,16.1,"Rapport,R","Vachier Lagrave,M",1/2-1/2,2760,A15,2763
82,GCT Blitz Paris 2021,Paris FRA,2021.06.22,18.1,"Rapport,R","Svidler,P",1/2-1/2,2714,A04,2763
83,Saint Louis Rapid 2021,Saint Louis USA,2021.08.11,1.1,"Shankland,S","Rapport,R",0-1,2763,E06,2709
84,Saint Louis Rapid 2021,Saint Louis USA,2021.08.11,2.1,"Rapport,R","Nakamura,Hi",1/2-1/2,2736,E32,2763
85,Saint Louis Rapid 2021,Saint Louis USA,2021.08.11,3.1,"Dominguez Perez,L","Rapport,R",1-0,2763,C53,2758
86,Saint Louis Rapid 2021,Saint Louis USA,2021.08.12,4.5,"Rapport,R","Svidler,P",1/2-1/2,2714,A20,2763
87,Saint Louis Rapid 2021,Saint Louis USA,2021.08.12,5.4,"So,W","Rapport,R",1/2-1/2,2763,C50,2772
88,Saint Louis Rapid 2021,Saint Louis USA,2021.08.12,6.3,"Rapport,R","Le, Quang Liem",1/2-1/2,2709,A07,2763
89,Saint Louis Rapid 2021,Saint Louis USA,2021.08.13,7.2,"Caruana,F","Rapport,R",0-1,2763,B40,2806
90,Saint Louis Rapid 2021,Saint Louis USA,2021.08.13,8.3,"Rapport,R","Xiong,Jeffery",1-0,2710,A07,2763
91,Saint Louis Rapid 2021,Saint Louis USA,2021.08.13,9.5,"Mamedyarov,S","Rapport,R",1/2-1/2,2763,E17,2782
92,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,2.1,"Xiong,Jeffery","Rapport,R",1-0,2763,A47,2710
93,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,3.4,"Rapport,R","Shankland,S",1/2-1/2,2709,A07,2763
94,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,4.2,"So,W","Rapport,R",1/2-1/2,2763,C53,2772
95,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,5.2,"Rapport,R","Svidler,P",0-1,2714,A04,2763
96,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,6.4,"Dominguez Perez,L","Rapport,R",0-1,2763,C53,2758
97,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,7.1,"Rapport,R","Mamedyarov,S",1/2-1/2,2782,A15,2763
98,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,8.5,"Le, Quang Liem","Rapport,R",1-0,2763,A47,2709
99,Saint Louis Blitz 2021,Saint Louis USA,2021.08.14,9.4,"Rapport,R","Caruana,F",1/2-1/2,2806,A08,2763
100,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,10.1,"Nakamura,Hi","Rapport,R",1/2-1/2,2763,E32,2736
101,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,11.3,"Rapport,R","Xiong,Jeffery",1/2-1/2,2710,A04,2763
102,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,12.2,"Shankland,S","Rapport,R",0-1,2763,E92,2709
103,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,14.1,"Svidler,P","Rapport,R",0-1,2763,B01,2714
104,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,15.3,"Rapport,R","Dominguez Perez,L",0-1,2758,A05,2763
105,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,16.3,"Mamedyarov,S","Rapport,R",0-1,2763,E61,2782
106,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,17.2,"Rapport,R","Le, Quang Liem",0-1,2709,A07,2763
107,Saint Louis Blitz 2021,Saint Louis USA,2021.08.15,18.2,"Caruana,F","Rapport,R",1/2-1/2,2763,E19,2806
108,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.17,1.3,"Xiong,Jeffery","Rapport,R",1/2-1/2,2763,E38,2710
109,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.18,2.4,"Rapport,R","Vachier Lagrave,M",1/2-1/2,2751,A04,2763
110,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.19,3.2,"Mamedyarov,S","Rapport,R",1-0,2763,D49,2782
111,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.20,4.3,"Rapport,R","Svidler,P",1-0,2714,A07,2763
112,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.21,5.5,"So,W","Rapport,R",1/2-1/2,2763,C67,2772
113,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.23,6.4,"Shankland,S","Rapport,R",1/2-1/2,2763,C45,2709
114,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.24,7.1,"Rapport,R","Dominguez Perez,L",1/2-1/2,2758,D23,2763
115,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.25,8.3,"Swiercz,D","Rapport,R",1/2-1/2,2763,D02,2655
116,8th Sinquefield Cup 2021,Saint Louis USA,2021.08.26,9.5,"Rapport,R","Caruana,F",1/2-1/2,2806,B44,2763
117,9th Norway Chess 2021,Stavanger NOR,2021.09.07,1.2,"Tari,A","Rapport,R",0-1,2760,C15,2642
118,9th Norway Chess 2021,Stavanger NOR,2021.09.08,2.3,"Karjakin,Sergey","Rapport,R",1/2-1/2,2760,B48,2758
119,9th Norway Armageddon,Stavanger NOR,2021.09.08,2.3,"Karjakin,Sergey","Rapport,R",1/2-1/2,2760,B01,2758
120,9th Norway Chess 2021,Stavanger NOR,2021.09.09,3.1,"Rapport,R","Carlsen,M",1/2-1/2,2855,E94,2760
121,9th Norway Armageddon,Stavanger NOR,2021.09.09,3.1,"Rapport,R","Carlsen,M",1/2-1/2,2855,A08,2760
122,9th Norway Chess 2021,Stavanger NOR,2021.09.10,4.2,"Rapport,R","Firouzja,Alireza",1-0,2754,D90,2760
123,9th Norway Armageddon,Stavanger NOR,2021.09.12,5.2,"Nepomniachtchi,I","Rapport,R",1-0,2760,B01,2792
124,9th Norway Chess 2021,Stavanger NOR,2021.09.12,5.2,"Nepomniachtchi,I","Rapport,R",1/2-1/2,2760,D02,2792
125,9th Norway Chess 2021,Stavanger NOR,2021.09.13,6.3,"Rapport,R","Tari,A",1-0,2642,D32,2760
126,9th Norway Chess 2021,Stavanger NOR,2021.09.14,7.2,"Rapport,R","Karjakin,Sergey",1-0,2758,E21,2760
127,9th Norway Chess 2021,Stavanger NOR,2021.09.15,8.1,"Carlsen,M","Rapport,R",1-0,2760,C65,2855
128,9th Norway Armageddon,Stavanger NOR,2021.09.16,9.2,"Rapport,R","Nepomniachtchi,I",0-1,2792,A06,2760
129,9th Norway Chess 2021,Stavanger NOR,2021.09.16,9.2,"Rapport,R","Nepomniachtchi,I",1/2-1/2,2792,D30,2760
130,9th Norway Chess 2021,Stavanger NOR,2021.09.17,10.2,"Firouzja,Alireza","Rapport,R",1-0,2760,B30,2754
