,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
47,83rd Tata Steel Masters,Wijk aan Zee NED,2021.01.29,11.2,"Donchenko,Alexa","Duda,J",1/2-1/2,2743,D35,2668
48,83rd Tata Steel Masters,Wijk aan Zee NED,2021.01.30,12.6,"Vachier Lagrave,M","Duda,J",1/2-1/2,2743,C42,2784
49,83rd Tata Steel Masters,Wijk aan Zee NED,2021.01.31,13.7,"Duda,J","Harikrishna,P",1/2-1/2,2732,D45,2743
50,3rd Prague Masters 2021,Prague CZE,2021.06.14,1.4,"Duda,J","Navara,D",1-0,2697,C65,2729
51,3rd Prague Masters 2021,Prague CZE,2021.06.15,2.2,"Shankland,S","Duda,J",1-0,2729,B90,2691
52,3rd Prague Masters 2021,Prague CZE,2021.06.16,3.1,"Duda,J","Abasov,N",1/2-1/2,2665,D35,2729
53,3rd Prague Masters 2021,Prague CZE,2021.06.17,4.4,"Nguyen,Thai Dai Van","Duda,J",1/2-1/2,2729,E00,2577
54,3rd Prague Masters 2021,Prague CZE,2021.06.18,5.3,"Duda,J","Van Foreest,Jorden",1-0,2701,C80,2729
55,3rd Prague Masters 2021,Prague CZE,2021.06.19,6.4,"Grandelius,N","Duda,J",0-1,2729,C02,2670
56,3rd Prague Masters 2021,Prague CZE,2021.06.20,7.4,"Duda,J","Wojtaszek,R",1-0,2687,C84,2729
57,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.07,1.5,"Duda,J","Saric,Iv",1/2-1/2,2653,A45,2738
58,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.07,2.2,"Giri,A","Duda,J",1/2-1/2,2738,B52,2776
59,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.07,3.4,"Duda,J","Van Foreest,Jorden",1/2-1/2,2688,B12,2738
60,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.08,4.3,"Vachier Lagrave,M","Duda,J",1-0,2738,B11,2749
61,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.08,5.3,"Duda,J","Nepomniachtchi,I",1/2-1/2,2792,E49,2738
62,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.08,6.4,"Mamedyarov,S","Duda,J",0-1,2738,D36,2782
63,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.09,7.2,"Duda,J","Anand,V",1/2-1/2,2753,C65,2738
64,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.09,8.5,"Grischuk,A","Duda,J",1/2-1/2,2738,B90,2778
65,GCT Rapid Croatia 2021,Zagreb CRO,2021.07.09,9.1,"Duda,J","Korobov,A",1-0,2683,E83,2738
66,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,1.5,"Grischuk,A","Duda,J",1/2-1/2,2738,B12,2778
67,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,2.1,"Anand,V","Duda,J",1-0,2738,B12,2753
68,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,3.5,"Duda,J","Kasparov,G",1-0,2812,B96,2738
69,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,4.2,"Korobov,A","Duda,J",0-1,2738,D10,2683
70,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,5.4,"Duda,J","Mamedyarov,S",1-0,2782,D22,2738
71,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,6.3,"Giri,A","Duda,J",1/2-1/2,2738,D10,2776
72,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,7.3,"Duda,J","Vachier Lagrave,M",1/2-1/2,2749,D85,2738
73,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,8.4,"Nepomniachtchi,I","Duda,J",1-0,2738,A13,2792
74,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.10,9.2,"Duda,J","Van Foreest,Jorden",0-1,2688,C02,2738
75,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,10.5,"Duda,J","Grischuk,A",0-1,2778,C53,2738
76,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,11.1,"Duda,J","Anand,V",1/2-1/2,2753,A30,2738
77,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,12.5,"Kasparov,G","Duda,J",0-1,2738,B92,2812
78,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,13.2,"Duda,J","Korobov,A",1-0,2683,C14,2738
79,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,14.4,"Mamedyarov,S","Duda,J",1-0,2738,D45,2782
80,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,15.3,"Duda,J","Giri,A",1-0,2776,D00,2738
81,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,16.3,"Vachier Lagrave,M","Duda,J",1-0,2738,B10,2749
82,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,17.4,"Duda,J","Nepomniachtchi,I",1-0,2792,D38,2738
83,GCT Blitz Croatia 2021,Zagreb CRO,2021.07.11,18.2,"Van Foreest,Jorden","Duda,J",0-1,2738,B94,2688
84,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.15,2.1,"Duda,J","Vazquez,Guillermo",1-0,2527,D38,2738
85,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.16,2.2,"Vazquez,Guillermo","Duda,J",1/2-1/2,2738,B52,2527
86,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.18,3.1,"Sevian,Samuel","Duda,J",1/2-1/2,2738,C43,2647
87,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.19,3.2,"Duda,J","Sevian,Samuel",1-0,2647,E36,2738
88,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.22,4.1,"Duda,J","Idani,P",1/2-1/2,2614,B90,2738
89,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.23,4.2,"Idani,P","Duda,J",0-1,2738,C42,2614
90,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.25,5.1,"Grischuk,A","Duda,J",1/2-1/2,2738,D37,2778
91,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.26,5.2,"Duda,J","Grischuk,A",1/2-1/2,2778,D41,2738
92,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.3,"Duda,J","Grischuk,A",1-0,2778,C65,2738
93,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.27,5.4,"Grischuk,A","Duda,J",1/2-1/2,2738,A07,2778
94,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.28,6.1,"Vidit,S","Duda,J",1/2-1/2,2738,E06,2726
95,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.29,6.2,"Duda,J","Vidit,S",1-0,2726,C78,2738
96,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.01,7.1,"Carlsen,M","Duda,J",1/2-1/2,2738,D37,2847
97,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.02,7.2,"Duda,J","Carlsen,M",1/2-1/2,2847,C88,2738
98,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.03,7.4,"Carlsen,M","Duda,J",0-1,2738,B52,2847
99,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.03,7.3,"Duda,J","Carlsen,M",1/2-1/2,2847,C65,2738
100,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.04,8.1,"Karjakin,Sergey","Duda,J",1/2-1/2,2738,D37,2757
101,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.08.05,8.2,"Duda,J","Karjakin,Sergey",1-0,2757,D41,2738
102,23rd European Teams,Terme Catez SLO,2021.11.12,1.4,"Duda,J","Hillarp Persson,T",1-0,2528,B90,2756
103,23rd European Teams,Terme Catez SLO,2021.11.13,2.4,"Nabaty,T","Duda,J",1/2-1/2,2756,D02,2649
104,23rd European Teams,Terme Catez SLO,2021.11.14,3.4,"Duda,J","Deac,Bogdan-Daniel",1/2-1/2,2651,E32,2756
105,23rd European Teams,Terme Catez SLO,2021.11.15,4.2,"Grischuk,A","Duda,J",1/2-1/2,2756,C42,2773
106,23rd European Teams,Terme Catez SLO,2021.11.18,6.6,"Navara,D","Duda,J",1/2-1/2,2756,B12,2699
107,23rd European Teams,Terme Catez SLO,2021.11.19,7.6,"Duda,J","Nisipeanu,LD",1-0,2651,B40,2756
108,23rd European Teams,Terme Catez SLO,2021.11.20,8.3,"Duda,J","Shirov,A",1/2-1/2,2673,C53,2756
109,23rd European Teams,Terme Catez SLO,2021.11.21,9.4,"Jobava,Ba","Duda,J",0-1,2756,C15,2582
