,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
11,10.0,1.0,8.0,22.0,7.0,12.0,43.0,0.0,42.0,42.0,0.0,17.0,6.0,1.0,1.0,0.0,105.0,168.0,0.0,0.0,0.0,5.0,9.0,84.0,51.0,45.0,21.0,14.0,25.0,0.0,35.0,0.0,25.0,0.0,20.0,86.0,70.0,0.0,17.0,81.0,136.0,116.0,23.0,0.0,328.0,13.0,38.0,0.0,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,35.0,5.0,3.0,11.0,6.0,35.0,29.0,0.0,0.0,9.0,21.0,26.0,0.0,2.0,0.0,0.0,24.0,0.0,11.0,0.0,18.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19.0,14.0,1.0,0.0,5.0,11.0,19.0,3.0,11.0,7.0,51.0,23.0,0.0,2.0,30.0,0.0,72.0,11.0,14.0,26.0,21.0,18.0,25.0,13.0,17.0,0.0,69.0,0.0,44.0,0.0,28.0,0.0,0.0,0.0,160.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.0,2.0,26.0,21.0,7.0,8.0,25.0,32.0,4.0,7.0,33.0,13.0,0.0,0.0,15.0,26.0,0.0,1.0,18.0,11.0,35.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10.0,23.0,13.0,6.0,0.0,32.0,1.0,36.0,0.0,0.0,21.0,0.0,56.0,9.0,25.0,0.0,71.0,113.0,67.0,4.0,0.0,23.0,14.0,54.0,0.0,153.0,89.0,3.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19.0,23.0,26.0,8.0,35.0,0.0,4.0,39.0,0.0,0.0,0.0,0.0,35.0,3.0,5.0,0.0,6.0,0.0,61.0,4.0,18.0,0.0,14.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,0.0,45.0,59.0,6.0,0.0,0.0,12.0,16.0,4.0,9.0,7.0,0.0,8.0,0.0,24.0,0.0,5.0,0.0,16.0,3.0,2.0,31.0,6.0,6.0,3.0,9.0,32.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11.0,46.0,2.0,2.0,1.0,7.0,4.0,0.0,8.0,29.0,7.0,8.0,0.0,0.0,12.0,39.0,0.0,13.0,0.0,16.0,15.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7.0,1.0,0.0,30.0,4.0,72.0,13.0,159.0,20.0,41.0,44.0,27.0,25.0,23.0,0.0,18.0,24.0,58.0,0.0,134.0,25.0,29.0,119.0,35.0,3.0,19.0,0.0,0.0,0.0,20.0,64.0,10.0,88.0,44.0,97.0,142.0,54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,13.0,11.0,42.0,0.0,29.0,0.0,20.0,31.0,0.0,43.0,22.0,0.0,30.0,2.0,24.0,14.0,47.0,16.0,35.0,11.0,2.0,0.0,46.0,5.0,0.0,6.0,14.0,37.0,32.0,50.0,32.0,0.0,0.0,429.0,1.0,0.0,0.0,16.0,9.0,18.0,4.0,0.0,0.0,0.0,29.0,93.0,72.0,59.0,2.0,52.0,364.0,0.0,0.0,5.0,102.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
