,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
11,21.0,30.0,0.0,24.0,27.0,36.0,19.0,0.0,24.0,37.0,0.0,0.0,43.0,18.0,0.0,5.0,10.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,28.0,17.0,24.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,43.0,6.0,13.0,1.0,5.0,10.0,3.0,0.0,24.0,0.0,7.0,48.0,1.0,4.0,0.0,0.0,6.0,6.0,7.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3.0,0.0,14.0,33.0,2.0,32.0,17.0,52.0,5.0,23.0,10.0,124.0,17.0,0.0,21.0,6.0,0.0,136.0,114.0,14.0,18.0,25.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,42.0,0.0,55.0,52.0,0.0,77.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,23.0,8.0,2.0,12.0,31.0,0.0,10.0,34.0,20.0,9.0,15.0,25.0,7.0,8.0,11.0,4.0,12.0,0.0,0.0,8.0,0.0,13.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19.0,23.0,15.0,0.0,1.0,5.0,15.0,29.0,0.0,9.0,23.0,7.0,169.0,50.0,84.0,101.0,93.0,59.0,77.0,174.0,0.0,117.0,18.0,39.0,33.0,123.0,104.0,135.0,17.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,44.0,104.0,200.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10.0,19.0,5.0,2.0,3.0,3.0,7.0,7.0,4.0,36.0,14.0,0.0,0.0,71.0,39.0,22.0,54.0,8.0,14.0,10.0,0.0,26.0,2.0,10.0,0.0,17.0,15.0,8.0,23.0,24.0,21.0,10.0,70.0,87.0,65.0,0.0,72.0,0.0,0.0,33.0,4.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3.0,8.0,2.0,36.0,0.0,17.0,19.0,21.0,23.0,7.0,41.0,30.0,12.0,0.0,58.0,3.0,62.0,34.0,15.0,15.0,73.0,99.0,0.0,45.0,0.0,0.0,0.0,0.0,16.0,278.0,0.0,8.0,0.0,33.0,37.0,0.0,8.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16.0,16.0,4.0,53.0,14.0,16.0,12.0,3.0,5.0,18.0,12.0,21.0,17.0,8.0,11.0,6.0,0.0,0.0,2.0,5.0,1.0,10.0,11.0,2.0,38.0,3.0,0.0,18.0,32.0,0.0,20.0,0.0,107.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,35.0,0.0,85.0,45.0,15.0,0.0,12.0,2.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,12.0,10.0,12.0,21.0,15.0,4.0,10.0,21.0,19.0,64.0,16.0,25.0,0.0,54.0,44.0,0.0,0.0,48.0,13.0,130.0,64.0,0.0,69.0,105.0,45.0,14.0,33.0,70.0,153.0,264.0,0.0,0.0,47.0,20.0,126.0,101.0,18.0,42.0,39.0,100.0,32.0,20.0,11.0,0.0,18.0,53.0,1.0,32.0,16.0,79.0,41.0,25.0,3.0,16.0,0.0,0.0,57.0,173.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.0,36.0,14.0,35.0,5.0,18.0,23.0,24.0,4.0,15.0,6.0,6.0,0.0,29.0,0.0,28.0,20.0,89.0,8.0,108.0,29.0,222.0,59.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12.0,7.0,41.0,10.0,0.0,2.0,21.0,3.0,3.0,41.0,14.0,6.0,21.0,15.0,17.0,12.0,0.0,17.0,17.0,47.0,147.0,0.0,7.0,43.0,39.0,100.0,0.0,5.0,6.0,26.0,3.0,42.0,14.0,47.0,114.0,19.0,9.0,136.0,281.0,55.0,1.0,25.0,0.0,0.0,11.0,0.0,262.0,0.0,37.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15.0,20.0,25.0,6.0,26.0,7.0,0.0,6.0,21.0,14.0,20.0,0.0,23.0,9.0,0.0,0.0,72.0,7.0,85.0,25.0,2.0,3.0,14.0,83.0,0.0,52.0,16.0,1.0,0.0,47.0,0.0,0.0,20.0,0.0,38.0,6.0,1.0,63.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,14.0,24.0,6.0,9.0,19.0,0.0,34.0,0.0,17.0,8.0,81.0,5.0,6.0,15.0,10.0,15.0,4.0,16.0,7.0,6.0,8.0,31.0,26.0,20.0,4.0,36.0,9.0,20.0,28.0,30.0,55.0,13.0,0.0,30.0,0.0,43.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10.0,0.0,22.0,13.0,0.0,52.0,20.0,0.0,0.0,5.0,15.0,0.0,4.0,6.0,8.0,1.0,9.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,29.0,8.0,17.0,4.0,14.0,2.0,15.0,3.0,0.0,17.0,92.0,11.0,5.0,0.0,7.0,9.0,0.0,0.0,13.0,0.0,11.0,7.0,0.0,7.0,0.0,8.0,1.0,7.0,10.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,14.0,0.0,18.0,1.0,16.0,0.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,12.0,33.0,25.0,9.0,16.0,27.0,22.0,4.0,28.0,60.0,1.0,1.0,51.0,12.0,0.0,18.0,29.0,7.0,9.0,63.0,21.0,0.0,0.0,7.0,0.0,33.0,6.0,0.0,27.0,38.0,0.0,0.0,45.0,24.0,109.0,0.0,96.0,17.0,61.0,0.0,135.0,0.0,18.0,0.0,0.0,0.0,0.0,613.0,10.0,2.0,5.0,6.0,0.0,141.0,244.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6.0,29.0,30.0,20.0,0.0,22.0,0.0,48.0,6.0,1.0,30.0,0.0,18.0,0.0,12.0,21.0,16.0,24.0,38.0,0.0,0.0,0.0,2.0,12.0,8.0,0.0,90.0,16.0,58.0,0.0,17.0,46.0,28.0,20.0,0.0,33.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
