,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
12,11.0,12.0,5.0,6.0,34.0,29.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,21.0,19.0,23.0,0.0,13.0,0.0,19.0,40.0,77.0,0.0,0.0,0.0,0.0,34.0,166.0,166.0,0.0,96.0,115.0,19.0,49.0,20.0,2.0,3.0,21.0,28.0,21.0,6.0,4.0,0.0,163.0,36.0,0.0,14.0,55.0,85.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7.0,18.0,15.0,16.0,19.0,33.0,0.0,13.0,11.0,11.0,0.0,0.0,27.0,0.0,0.0,33.0,0.0,22.0,6.0,42.0,84.0,0.0,43.0,3.0,1.0,32.0,46.0,17.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17.0,50.0,13.0,13.0,7.0,18.0,5.0,25.0,42.0,10.0,0.0,3.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30.0,9.0,11.0,16.0,48.0,8.0,14.0,3.0,0.0,1.0,5.0,36.0,0.0,0.0,58.0,26.0,19.0,37.0,3.0,0.0,23.0,10.0,7.0,0.0,8.0,14.0,10.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3.0,5.0,14.0,4.0,8.0,0.0,26.0,10.0,21.0,23.0,72.0,103.0,29.0,0.0,6.0,20.0,11.0,0.0,46.0,4.0,35.0,28.0,0.0,18.0,0.0,0.0,0.0,2.0,29.0,1.0,3.0,0.0,18.0,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7.0,9.0,0.0,84.0,0.0,8.0,16.0,0.0,10.0,14.0,1.0,20.0,28.0,15.0,0.0,8.0,2.0,4.0,111.0,9.0,0.0,1.0,1.0,15.0,36.0,0.0,7.0,0.0,0.0,0.0,15.0,27.0,19.0,21.0,40.0,15.0,0.0,0.0,0.0,25.0,37.0,12.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15.0,1.0,14.0,1.0,5.0,2.0,3.0,13.0,2.0,67.0,30.0,33.0,13.0,27.0,30.0,39.0,0.0,0.0,17.0,88.0,40.0,0.0,51.0,591.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7.0,22.0,0.0,11.0,38.0,5.0,0.0,33.0,89.0,70.0,0.0,20.0,15.0,45.0,30.0,41.0,0.0,0.0,7.0,33.0,15.0,0.0,0.0,0.0,0.0,77.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,90.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,9.0,14.0,5.0,9.0,17.0,15.0,0.0,4.0,0.0,10.0,4.0,6.0,25.0,15.0,4.0,18.0,9.0,26.0,30.0,25.0,12.0,10.0,48.0,0.0,0.0,29.0,14.0,0.0,162.0,0.0,0.0,0.0,17.0,0.0,24.0,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,43.0,8.0,0.0,0.0,11.0,12.0,6.0,6.0,33.0,1.0,2.0,4.0,12.0,4.0,3.0,39.0,0.0,9.0,31.0,28.0,0.0,0.0,0.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
