,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
14,4.0,56.0,0.0,6.0,18.0,32.0,0.0,15.0,6.0,0.0,0.0,24.0,15.0,20.0,0.0,0.0,29.0,56.0,16.0,146.0,0.0,7.0,21.0,46.0,0.0,14.0,63.0,0.0,6.0,93.0,74.0,29.0,64.0,54.0,14.0,26.0,21.0,8.0,1.0,38.0,0.0,24.0,107.0,39.0,32.0,0.0,0.0,0.0,29.0,33.0,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
15,30.0,6.0,9.0,10.0,8.0,3.0,46.0,35.0,6.0,1.0,9.0,9.0,9.0,18.0,20.0,13.0,23.0,37.0,0.0,8.0,9.0,21.0,0.0,6.0,0.0,13.0,17.0,17.0,10.0,0.0,6.0,0.0,0.0,36.0,44.0,67.0,1.0,29.0,0.0,39.0,2.0,21.0,12.0,40.0,24.0,0.0,25.0,202.0,0.0,0.0,0.0,14.0,2.0,0.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
16,0.0,14.0,31.0,19.0,2.0,0.0,22.0,32.0,7.0,8.0,0.0,13.0,7.0,25.0,12.0,63.0,8.0,12.0,2.0,50.0,30.0,23.0,0.0,125.0,0.0,72.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,28.0,3.0,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15.0,31.0,7.0,0.0,26.0,14.0,10.0,45.0,69.0,3.0,15.0,0.0,94.0,1.0,4.0,53.0,55.0,12.0,40.0,0.0,0.0,69.0,86.0,2.0,257.0,6.0,30.0,10.0,0.0,3.0,13.0,74.0,0.0,0.0,5.0,9.0,2.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
18,22.0,40.0,6.0,15.0,10.0,26.0,15.0,13.0,2.0,5.0,0.0,0.0,248.0,121.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,15.0,6.0,47.0,8.0,10.0,25.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22.0,28.0,19.0,14.0,5.0,32.0,11.0,32.0,0.0,7.0,0.0,28.0,14.0,45.0,0.0,5.0,8.0,44.0,0.0,73.0,103.0,5.0,20.0,27.0,93.0,83.0,0.0,272.0,6.0,19.0,87.0,115.0,6.0,0.0,31.0,0.0,62.0,42.0,0.0,14.0,0.0,153.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18.0,15.0,13.0,17.0,15.0,2.0,53.0,30.0,0.0,11.0,23.0,44.0,0.0,13.0,89.0,15.0,55.0,13.0,0.0,56.0,78.0,17.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,22.0,10.0,1.0,1.0,12.0,0.0,0.0,52.0,10.0,2.0,17.0,3.0,13.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
21,5.0,24.0,13.0,12.0,12.0,27.0,11.0,20.0,57.0,13.0,38.0,0.0,12.0,35.0,14.0,55.0,7.0,12.0,25.0,41.0,18.0,15.0,11.0,29.0,11.0,10.0,0.0,0.0,0.0,93.0,47.0,0.0,140.0,0.0,0.0,239.0,129.0,39.0,14.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20.0,19.0,0.0,11.0,3.0,5.0,22.0,34.0,13.0,56.0,43.0,3.0,13.0,5.0,0.0,12.0,0.0,5.0,24.0,8.0,7.0,23.0,15.0,11.0,17.0,10.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,53.0,0.0,28.0,4.0,22.0,18.0,153.0,0.0,28.0,115.0,66.0,232.0,60.0,94.0,144.0,0.0,6.0,0.0,0.0,243.0,234.0,46.0,165.0,0.0,377.0,75.0,,,,,,,,,,,,,,,
23,1.0,36.0,11.0,0.0,35.0,54.0,26.0,59.0,39.0,27.0,6.0,17.0,1.0,28.0,40.0,0.0,0.0,10.0,20.0,10.0,53.0,9.0,57.0,24.0,10.0,20.0,10.0,0.0,12.0,15.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23.0,15.0,32.0,20.0,13.0,10.0,0.0,0.0,0.0,0.0,4.0,30.0,44.0,7.0,0.0,0.0,16.0,118.0,23.0,0.0,0.0,0.0,8.0,22.0,5.0,0.0,0.0,106.0,14.0,163.0,10.0,14.0,125.0,139.0,79.0,21.0,15.0,12.0,1.0,86.0,0.0,53.0,55.0,47.0,100.0,0.0,5.0,4.0,0.0,0.0,8.0,45.0,0.0,28.0,0.0,54.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,
25,29.0,35.0,11.0,0.0,7.0,5.0,22.0,0.0,14.0,0.0,0.0,21.0,8.0,9.0,25.0,8.0,0.0,7.0,14.0,20.0,0.0,15.0,0.0,26.0,45.0,9.0,32.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,30.0,0.0,18.0,8.0,9.0,0.0,48.0,32.0,29.0,47.0,0.0,18.0,2.0,14.0,2.0,12.0,0.0,62.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5.0,24.0,12.0,14.0,23.0,25.0,36.0,9.0,42.0,27.0,27.0,0.0,27.0,0.0,69.0,0.0,0.0,1.0,24.0,102.0,0.0,29.0,16.0,30.0,0.0,6.0,27.0,103.0,57.0,35.0,0.0,0.0,48.0,0.0,200.0,15.0,0.0,0.0,0.0,0.0,0.0,309.0,6.0,85.0,88.0,0.0,9.0,142.0,0.0,251.0,14.0,0.0,25.0,11.0,34.0,0.0,,,,,,,,,,,,,,,,,,,
28,14.0,28.0,0.0,53.0,0.0,200.0,27.0,39.0,43.0,55.0,33.0,24.0,21.0,35.0,0.0,3.0,0.0,76.0,59.0,2.0,29.0,12.0,162.0,35.0,42.0,0.0,0.0,0.0,63.0,0.0,56.0,49.0,31.0,2.0,0.0,50.0,36.0,75.0,174.0,321.0,87.0,0.0,407.0,108.0,46.0,0.0,0.0,6.0,243.0,0.0,125.0,84.0,18.0,355.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
