,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
13,20.0,2.0,25.0,70.0,51.0,40.0,25.0,48.0,2.0,7.0,0.0,12.0,0.0,60.0,10.0,1.0,35.0,28.0,0.0,0.0,49.0,30.0,22.0,61.0,0.0,4.0,18.0,1.0,0.0,14.0,1.0,0.0,0.0,21.0,3.0,69.0,73.0,1.0,6.0,12.0,15.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,11.0,6.0,35.0,1.0,25.0,0.0,15.0,3.0,0.0,27.0,14.0,3.0,50.0,71.0,33.0,34.0,19.0,27.0,16.0,47.0,0.0,0.0,16.0,10.0,15.0,16.0,0.0,76.0,1.0,4.0,0.0,62.0,69.0,0.0,0.0,114.0,18.0,13.0,2.0,62.0,0.0,27.0,21.0,2.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24.0,4.0,13.0,12.0,36.0,0.0,35.0,54.0,10.0,32.0,17.0,11.0,23.0,32.0,18.0,30.0,41.0,0.0,23.0,50.0,13.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11.0,31.0,10.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,0.0,3.0,12.0,31.0,2.0,40.0,3.0,0.0,4.0,31.0,19.0,18.0,67.0,0.0,3.0,9.0,23.0,0.0,0.0,0.0,109.0,0.0,44.0,80.0,18.0,24.0,0.0,0.0,5.0,19.0,14.0,56.0,29.0,2.0,0.0,15.0,21.0,0.0,53.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,6.0,11.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,10.0,0.0,16.0,0.0,8.0,10.0,0.0,9.0,26.0,42.0,10.0,10.0,17.0,31.0,32.0,61.0,37.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25.0,21.0,18.0,6.0,31.0,59.0,16.0,16.0,22.0,24.0,4.0,5.0,71.0,0.0,47.0,12.0,0.0,90.0,6.0,11.0,14.0,19.0,15.0,37.0,37.0,0.0,57.0,52.0,96.0,0.0,0.0,74.0,12.0,3.0,37.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,35.0,32.0,0.0,28.0,10.0,0.0,12.0,4.0,32.0,0.0,56.0,4.0,54.0,46.0,0.0,7.0,9.0,0.0,2.0,55.0,30.0,3.0,33.0,41.0,31.0,19.0,44.0,9.0,46.0,0.0,12.0,10.0,12.0,12.0,55.0,34.0,0.0,0.0,52.0,205.0,0.0,94.0,0.0,0.0,34.0,26.0,171.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,35.0,31.0,0.0,14.0,23.0,6.0,74.0,12.0,13.0,0.0,0.0,29.0,14.0,140.0,64.0,83.0,22.0,34.0,174.0,24.0,84.0,0.0,63.0,28.0,21.0,23.0,97.0,32.0,0.0,130.0,0.0,0.0,0.0,0.0,67.0,46.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2.0,20.0,25.0,31.0,36.0,22.0,3.0,23.0,0.0,12.0,53.0,18.0,66.0,51.0,0.0,35.0,44.0,20.0,18.0,28.0,13.0,9.0,4.0,20.0,89.0,22.0,0.0,0.0,28.0,0.0,0.0,8.0,0.0,35.0,0.0,5.0,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
