,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
14,0.0,25.0,5.0,9.0,55.0,32.0,0.0,24.0,27.0,30.0,0.0,20.0,36.0,23.0,25.0,13.0,51.0,16.0,92.0,18.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,31.0,81.0,23.0,0.0,9.0,14.0,0.0,2.0,2.0,40.0,31.0,0.0,7.0,20.0,5.0,11.0,16.0,0.0,76.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
15,3.0,5.0,8.0,5.0,10.0,0.0,29.0,19.0,24.0,2.0,19.0,36.0,0.0,44.0,60.0,6.0,18.0,72.0,17.0,125.0,59.0,27.0,13.0,15.0,79.0,0.0,221.0,0.0,10.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.0,17.0,15.0,3.0,58.0,3.0,56.0,19.0,56.0,62.0,16.0,3.0,2.0,46.0,33.0,39.0,97.0,16.0,49.0,35.0,0.0,30.0,4.0,5.0,41.0,80.0,0.0,21.0,54.0,11.0,41.0,16.0,44.0,0.0,89.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,56.0,0.0,18.0,18.0,33.0,50.0,16.0,24.0,15.0,32.0,40.0,14.0,17.0,2.0,71.0,19.0,52.0,0.0,790.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14.0,1.0,17.0,38.0,0.0,5.0,57.0,21.0,22.0,31.0,0.0,46.0,27.0,6.0,19.0,50.0,0.0,65.0,23.0,0.0,25.0,9.0,0.0,0.0,23.0,0.0,169.0,3.0,22.0,0.0,0.0,0.0,17.0,0.0,0.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,36.0,1.0,43.0,0.0,2.0,0.0,29.0,0.0,15.0,84.0,0.0,43.0,0.0,15.0,49.0,55.0,0.0,3.0,0.0,13.0,11.0,29.0,9.0,20.0,82.0,6.0,0.0,16.0,0.0,23.0,3.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10.0,18.0,15.0,4.0,6.0,15.0,4.0,0.0,23.0,26.0,22.0,19.0,31.0,14.0,13.0,5.0,43.0,1.0,16.0,15.0,0.0,4.0,29.0,22.0,38.0,0.0,6.0,0.0,91.0,17.0,45.0,0.0,92.0,17.0,45.0,50.0,0.0,0.0,115.0,0.0,0.0,404.0,113.0,0.0,23.0,43.0,363.0,0.0,81.0,58.0,16.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
21,17.0,11.0,16.0,0.0,23.0,0.0,13.0,13.0,10.0,9.0,23.0,15.0,25.0,0.0,40.0,41.0,26.0,5.0,9.0,46.0,22.0,36.0,18.0,19.0,13.0,35.0,0.0,22.0,34.0,0.0,7.0,14.0,16.0,13.0,0.0,0.0,40.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7.0,12.0,13.0,16.0,2.0,24.0,13.0,0.0,0.0,8.0,13.0,1.0,48.0,27.0,14.0,63.0,2.0,4.0,2.0,11.0,4.0,4.0,6.0,45.0,8.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,14.0,48.0,59.0,12.0,9.0,10.0,14.0,0.0,14.0,9.0,0.0,2.0,7.0,10.0,12.0,5.0,16.0,0.0,3.0,21.0,0.0,12.0,0.0,0.0,17.0,0.0,6.0,0.0,34.0,0.0,0.0,53.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,73.0,0.0,15.0,0.0,32.0,18.0,35.0,0.0,17.0,14.0,0.0,0.0,0.0,44.0,0.0,213.0,85.0,0.0,41.0,26.0,14.0,4.0,32.0,20.0,0.0,0.0,200.0,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
