,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
12,5.0,7.0,35.0,7.0,0.0,14.0,0.0,16.0,38.0,5.0,0.0,11.0,29.0,23.0,61.0,0.0,31.0,12.0,93.0,8.0,0.0,0.0,16.0,4.0,6.0,3.0,35.0,10.0,18.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5.0,13.0,0.0,17.0,4.0,17.0,17.0,14.0,12.0,0.0,0.0,6.0,14.0,2.0,4.0,0.0,7.0,0.0,43.0,8.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,11.0,10.0,0.0,10.0,6.0,37.0,38.0,2.0,29.0,5.0,44.0,0.0,5.0,0.0,25.0,69.0,15.0,0.0,10.0,12.0,9.0,0.0,3.0,0.0,0.0,0.0,33.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10.0,17.0,1.0,11.0,7.0,23.0,28.0,0.0,54.0,75.0,27.0,87.0,0.0,0.0,0.0,52.0,81.0,25.0,1.0,48.0,17.0,22.0,144.0,0.0,124.0,56.0,40.0,0.0,25.0,18.0,0.0,4.0,14.0,45.0,340.0,126.0,0.0,37.0,54.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5.0,16.0,18.0,11.0,39.0,10.0,28.0,27.0,0.0,17.0,12.0,9.0,2.0,0.0,26.0,36.0,60.0,23.0,86.0,12.0,10.0,65.0,0.0,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20.0,0.0,10.0,14.0,23.0,33.0,15.0,11.0,27.0,4.0,6.0,8.0,13.0,25.0,28.0,7.0,0.0,11.0,37.0,20.0,20.0,25.0,19.0,56.0,18.0,51.0,49.0,38.0,9.0,2.0,1.0,0.0,0.0,23.0,25.0,0.0,18.0,20.0,25.0,0.0,100.0,4.0,1.0,78.0,112.0,1.0,0.0,0.0,0.0,80.0,81.0,0.0,19.0,0.0,0.0,0.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25.0,0.0,0.0,7.0,8.0,1.0,33.0,3.0,12.0,19.0,28.0,18.0,18.0,0.0,6.0,0.0,4.0,26.0,14.0,0.0,11.0,5.0,30.0,24.0,0.0,15.0,0.0,7.0,10.0,22.0,0.0,9.0,3.0,15.0,35.0,46.0,0.0,0.0,0.0,67.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,44.0,12.0,2.0,1.0,38.0,5.0,10.0,20.0,2.0,0.0,20.0,72.0,19.0,28.0,46.0,0.0,0.0,13.0,17.0,218.0,56.0,34.0,25.0,5.0,201.0,99.0,190.0,348.0,133.0,0.0,15.0,14.0,34.0,40.0,65.0,7.0,1.0,10.0,10.0,15.0,55.0,0.0,4.0,0.0,5.0,37.0,14.0,0.0,10.0,5.0,2.0,1.0,11.0,0.0,75.0,0.0,0.0,0.0,0.0,13.0,0.0,24.0,0.0,5.0,3.0,0.0,14.0,0.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,3.0,4.0,26.0,8.0,14.0,28.0,35.0,15.0,0.0,2.0,67.0,3.0,27.0,12.0,8.0,51.0,15.0,70.0,62.0,41.0,0.0,0.0,137.0,0.0,101.0,71.0,37.0,59.0,0.0,27.0,0.0,37.0,0.0,13.0,30.0,0.0,9.0,70.0,49.0,124.0,71.0,124.0,36.0,0.0,0.0,28.0,0.0,0.0,52.0,0.0,20.0,0.0,0.0,0.0,232.0,1.0,0.0,22.0,80.0,0.0,6.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
20,12.0,8.0,7.0,13.0,18.0,8.0,5.0,23.0,0.0,24.0,0.0,81.0,55.0,35.0,53.0,31.0,0.0,21.0,216.0,0.0,63.0,0.0,0.0,0.0,7.0,41.0,19.0,14.0,13.0,39.0,74.0,46.0,0.0,6.0,125.0,29.0,67.0,0.0,80.0,34.0,10.0,64.0,15.0,0.0,164.0,91.0,25.0,62.0,84.0,166.0,211.0,51.0,21.0,7.0,139.0,0.0,117.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,11.0,1.0,0.0,25.0,0.0,2.0,12.0,5.0,8.0,6.0,13.0,0.0,22.0,3.0,7.0,10.0,28.0,18.0,43.0,21.0,5.0,15.0,7.0,34.0,86.0,5.0,16.0,0.0,0.0,21.0,5.0,5.0,0.0,27.0,21.0,9.0,25.0,0.0,7.0,31.0,24.0,29.0,114.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
