,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
11,8.0,13.0,20.0,17.0,0.0,21.0,58.0,16.0,0.0,5.0,0.0,12.0,4.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,18.0,32.0,114.0,17.0,19.0,82.0,0.0,70.0,20.0,187.0,24.0,0.0,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16.0,24.0,14.0,1.0,0.0,39.0,7.0,3.0,0.0,20.0,1.0,45.0,3.0,20.0,34.0,5.0,13.0,110.0,100.0,231.0,31.0,75.0,65.0,0.0,0.0,155.0,14.0,129.0,11.0,0.0,247.0,15.0,142.0,0.0,45.0,0.0,78.0,216.0,79.0,0.0,34.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18.0,10.0,22.0,13.0,12.0,2.0,28.0,18.0,0.0,25.0,2.0,27.0,114.0,0.0,4.0,0.0,1.0,7.0,29.0,105.0,1.0,35.0,58.0,52.0,0.0,63.0,34.0,45.0,69.0,5.0,67.0,240.0,0.0,176.0,26.0,11.0,47.0,11.0,112.0,44.0,35.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,2.0,0.0,20.0,0.0,9.0,87.0,0.0,30.0,20.0,0.0,33.0,0.0,22.0,23.0,5.0,12.0,18.0,22.0,0.0,90.0,0.0,59.0,107.0,35.0,24.0,8.0,149.0,16.0,17.0,21.0,12.0,94.0,3.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,35.0,128.0,0.0,0.0,86.0,96.0,0.0,0.0,0.0,34.0,0.0,0.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3.0,10.0,21.0,2.0,3.0,40.0,7.0,19.0,4.0,4.0,20.0,3.0,25.0,31.0,0.0,0.0,8.0,22.0,0.0,4.0,22.0,21.0,40.0,86.0,20.0,43.0,0.0,19.0,6.0,25.0,53.0,0.0,0.0,7.0,33.0,46.0,60.0,96.0,17.0,34.0,36.0,66.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,34.0,4.0,22.0,40.0,8.0,8.0,7.0,0.0,17.0,9.0,18.0,24.0,10.0,4.0,17.0,52.0,51.0,0.0,0.0,60.0,99.0,0.0,42.0,88.0,19.0,0.0,0.0,63.0,0.0,107.0,22.0,102.0,51.0,0.0,0.0,52.0,31.0,0.0,685.0,34.0,0.0,84.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14.0,2.0,42.0,16.0,17.0,13.0,41.0,20.0,5.0,0.0,21.0,95.0,25.0,171.0,21.0,2.0,14.0,6.0,63.0,52.0,0.0,0.0,64.0,19.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23.0,14.0,12.0,12.0,14.0,7.0,15.0,24.0,0.0,37.0,0.0,28.0,22.0,3.0,1.0,69.0,1.0,6.0,0.0,29.0,0.0,19.0,53.0,10.0,10.0,18.0,0.0,15.0,3.0,30.0,49.0,14.0,3.0,15.0,11.0,37.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16.0,18.0,6.0,8.0,8.0,28.0,34.0,19.0,0.0,13.0,9.0,19.0,24.0,0.0,42.0,20.0,65.0,0.0,4.0,27.0,16.0,0.0,23.0,2.0,16.0,8.0,15.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8.0,33.0,12.0,0.0,4.0,0.0,10.0,15.0,7.0,25.0,0.0,0.0,10.0,30.0,35.0,88.0,16.0,19.0,19.0,36.0,35.0,56.0,0.0,0.0,29.0,9.0,13.0,15.0,8.0,0.0,68.0,1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,18.0,7.0,59.0,12.0,17.0,0.0,4.0,13.0,3.0,15.0,17.0,30.0,0.0,25.0,0.0,0.0,0.0,11.0,0.0,0.0,39.0,4.0,20.0,0.0,1.0,4.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,19.0,2.0,5.0,1.0,3.0,11.0,35.0,6.0,20.0,11.0,0.0,20.0,25.0,10.0,27.0,0.0,0.0,33.0,0.0,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,4.0,0.0,2.0,0.0,3.0,9.0,20.0,21.0,5.0,8.0,20.0,80.0,0.0,9.0,0.0,11.0,0.0,19.0,6.0,0.0,65.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13.0,7.0,22.0,5.0,0.0,36.0,30.0,1.0,4.0,0.0,24.0,16.0,0.0,11.0,31.0,5.0,15.0,11.0,8.0,17.0,0.0,16.0,0.0,6.0,52.0,0.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,41.0,0.0,45.0,5.0,23.0,0.0,18.0,5.0,5.0,4.0,6.0,0.0,0.0,11.0,24.0,39.0,38.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,45.0,37.0,16.0,1.0,11.0,0.0,0.0,10.0,29.0,16.0,0.0,19.0,10.0,4.0,16.0,60.0,0.0,0.0,5.0,16.0,9.0,16.0,13.0,37.0,12.0,27.0,0.0,29.0,11.0,1.0,16.0,4.0,0.0,2.0,0.0,2.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34.0,18.0,0.0,2.0,44.0,18.0,13.0,25.0,0.0,18.0,46.0,0.0,7.0,16.0,0.0,14.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,14.0,29.0,8.0,55.0,0.0,22.0,0.0,11.0,60.0,22.0,15.0,25.0,66.0,43.0,0.0,6.0,79.0,28.0,27.0,24.0,1.0,0.0,180.0,27.0,220.0,182.0,347.0,30.0,37.0,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12.0,7.0,0.0,13.0,47.0,20.0,9.0,1.0,10.0,0.0,34.0,84.0,20.0,42.0,11.0,20.0,31.0,90.0,1.0,0.0,0.0,8.0,121.0,14.0,27.0,112.0,3.0,25.0,180.0,0.0,156.0,252.0,95.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,29.0,23.0,0.0,6.0,13.0,11.0,0.0,41.0,4.0,3.0,2.0,27.0,0.0,13.0,8.0,41.0,28.0,2.0,10.0,1.0,30.0,3.0,2.0,11.0,7.0,107.0,32.0,50.0,0.0,28.0,25.0,1.0,36.0,0.0,7.0,1.0,0.0,2.0,4.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,21.0,0.0,11.0,5.0,28.0,12.0,2.0,5.0,12.0,43.0,6.0,10.0,9.0,0.0,0.0,80.0,19.0,22.0,19.0,0.0,17.0,1.0,14.0,15.0,0.0,0.0,17.0,19.0,52.0,44.0,25.0,66.0,9.0,3.0,9.0,0.0,14.0,62.0,0.0,41.0,35.0,0.0,38.0,0.0,43.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12.0,10.0,54.0,0.0,71.0,23.0,1.0,15.0,30.0,46.0,9.0,61.0,0.0,4.0,13.0,17.0,6.0,15.0,4.0,15.0,0.0,38.0,26.0,47.0,7.0,52.0,16.0,35.0,32.0,0.0,0.0,14.0,145.0,12.0,92.0,0.0,0.0,2.0,11.0,108.0,135.0,0.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30.0,0.0,34.0,16.0,0.0,16.0,7.0,14.0,0.0,10.0,0.0,10.0,4.0,13.0,12.0,32.0,22.0,7.0,0.0,26.0,16.0,2.0,25.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,13.0,39.0,3.0,3.0,0.0,8.0,16.0,11.0,26.0,4.0,0.0,95.0,1.0,37.0,22.0,9.0,37.0,0.0,18.0,28.0,38.0,23.0,35.0,6.0,18.0,10.0,18.0,41.0,0.0,3.0,17.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.0,18.0,37.0,0.0,46.0,0.0,7.0,6.0,58.0,0.0,9.0,0.0,33.0,34.0,0.0,35.0,10.0,0.0,10.0,0.0,8.0,9.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,29.0,6.0,26.0,10.0,38.0,6.0,25.0,32.0,0.0,47.0,0.0,7.0,14.0,38.0,10.0,28.0,27.0,23.0,15.0,8.0,35.0,24.0,11.0,0.0,3.0,10.0,38.0,0.0,57.0,29.0,111.0,67.0,0.0,51.0,50.0,225.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8.0,2.0,0.0,14.0,11.0,3.0,4.0,10.0,0.0,8.0,39.0,53.0,0.0,34.0,30.0,52.0,173.0,0.0,3.0,102.0,97.0,66.0,9.0,75.0,69.0,23.0,7.0,5.0,63.0,81.0,108.0,112.0,0.0,1.0,54.0,30.0,110.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
