,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
11,11.0,30.0,19.0,0.0,3.0,8.0,2.0,9.0,33.0,0.0,12.0,0.0,4.0,14.0,0.0,13.0,33.0,0.0,59.0,1.0,31.0,0.0,157.0,45.0,6.0,46.0,9.0,8.0,7.0,59.0,8.0,62.0,22.0,40.0,30.0,412.0,196.0,25.0,7.0,31.0,17.0,0.0,54.0,23.0,0.0,582.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.0,22.0,25.0,43.0,0.0,13.0,0.0,18.0,2.0,23.0,13.0,12.0,4.0,9.0,0.0,25.0,0.0,13.0,18.0,40.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13.0,28.0,10.0,11.0,5.0,31.0,12.0,13.0,27.0,24.0,9.0,0.0,12.0,0.0,21.0,0.0,5.0,10.0,11.0,23.0,110.0,27.0,31.0,92.0,35.0,70.0,260.0,44.0,76.0,86.0,213.0,0.0,79.0,37.0,39.0,50.0,9.0,1.0,0.0,92.0,76.0,334.0,90.0,265.0,126.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.0,1.0,27.0,2.0,8.0,3.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,28.0,6.0,8.0,0.0,7.0,8.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,10.0,2.0,0.0,42.0,0.0,0.0,26.0,26.0,11.0,0.0,18.0,9.0,12.0,18.0,21.0,72.0,0.0,22.0,25.0,13.0,13.0,34.0,32.0,34.0,0.0,125.0,104.0,51.0,217.0,62.0,255.0,14.0,13.0,0.0,0.0,18.0,0.0,7.0,2.0,13.0,0.0,4.0,4.0,18.0,44.0,20.0,25.0,7.0,75.0,24.0,0.0,0.0,0.0,10.0,33.0,1.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19.0,10.0,3.0,65.0,12.0,17.0,25.0,7.0,15.0,5.0,21.0,18.0,32.0,47.0,55.0,196.0,74.0,0.0,2.0,0.0,13.0,105.0,15.0,0.0,0.0,15.0,0.0,53.0,2.0,0.0,21.0,0.0,148.0,598.0,13.0,91.0,265.0,0.0,491.0,133.0,0.0,321.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,18.0,16.0,40.0,6.0,43.0,0.0,14.0,41.0,12.0,100.0,25.0,0.0,34.0,73.0,18.0,18.0,149.0,0.0,2.0,9.0,69.0,178.0,39.0,16.0,29.0,52.0,17.0,39.0,118.0,44.0,0.0,0.0,207.0,0.0,525.0,0.0,67.0,6.0,23.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,38.0,5.0,0.0,2.0,17.0,0.0,20.0,35.0,3.0,28.0,16.0,0.0,0.0,23.0,3.0,22.0,0.0,0.0,26.0,20.0,3.0,59.0,17.0,4.0,0.0,16.0,3.0,26.0,63.0,22.0,16.0,16.0,91.0,23.0,4.0,50.0,24.0,0.0,9.0,55.0,24.0,2.0,53.0,8.0,31.0,25.0,13.0,17.0,38.0,29.0,10.0,12.0,87.0,18.0,20.0,8.0,11.0,0.0,0.0,11.0,1.0,12.0,8.0,17.0,7.0,23.0,10.0,6.0,0.0,233.0,37.0,334.0,63.0,1.0,2.0,2.0,27.0,25.0,145.0,44.0,51.0,74.0,115.0,293.0,61.0,60.0,0.0,166.0,90.0,77.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
19,16.0,12.0,16.0,5.0,12.0,10.0,0.0,20.0,10.0,0.0,13.0,55.0,36.0,0.0,0.0,14.0,16.0,11.0,52.0,38.0,6.0,24.0,7.0,18.0,1.0,8.0,38.0,6.0,37.0,12.0,18.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.0,0.0,15.0,1.0,10.0,2.0,0.0,11.0,12.0,26.0,57.0,11.0,12.0,18.0,21.0,18.0,38.0,7.0,30.0,36.0,99.0,1.0,17.0,32.0,61.0,25.0,63.0,0.0,222.0,123.0,18.0,65.0,149.0,131.0,50.0,102.0,201.0,18.0,83.0,12.0,111.0,22.0,173.0,0.0,0.0,5.0,169.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,40.0,0.0,11.0,11.0,0.0,15.0,0.0,17.0,15.0,49.0,4.0,0.0,2.0,0.0,29.0,5.0,3.0,0.0,6.0,59.0,4.0,7.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,13.0,0.0,9.0,6.0,12.0,42.0,21.0,0.0,22.0,0.0,57.0,76.0,72.0,2.0,29.0,62.0,356.0,34.0,0.0,61.0,29.0,0.0,82.0,42.0,38.0,0.0,80.0,8.0,61.0,35.0,151.0,79.0,0.0,32.0,32.0,0.0,36.0,123.0,0.0,3.0,11.0,10.0,57.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
