,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
12,0.0,14.0,21.0,0.0,22.0,50.0,0.0,38.0,19.0,34.0,27.0,21.0,32.0,10.0,37.0,12.0,0.0,49.0,8.0,49.0,31.0,42.0,64.0,0.0,47.0,12.0,31.0,61.0,106.0,15.0,0.0,53.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15.0,7.0,8.0,11.0,31.0,4.0,2.0,0.0,5.0,0.0,25.0,0.0,59.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,56.0,6.0,31.0,39.0,4.0,63.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,14.0,9.0,6.0,0.0,18.0,4.0,0.0,1.0,5.0,38.0,5.0,21.0,9.0,11.0,26.0,24.0,0.0,0.0,41.0,64.0,48.0,28.0,0.0,0.0,7.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,20.0,10.0,4.0,26.0,3.0,17.0,6.0,0.0,44.0,24.0,11.0,20.0,2.0,18.0,0.0,4.0,18.0,0.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,4.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
15,12.0,48.0,6.0,8.0,0.0,18.0,17.0,2.0,8.0,8.0,0.0,0.0,0.0,14.0,0.0,75.0,8.0,25.0,124.0,0.0,24.0,0.0,10.0,39.0,86.0,0.0,48.0,90.0,14.0,254.0,125.0,91.0,53.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,28.0,0.0,0.0,5.0,6.0,38.0,4.0,17.0,11.0,50.0,22.0,17.0,24.0,17.0,23.0,26.0,61.0,0.0,54.0,12.0,0.0,13.0,25.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3.0,24.0,0.0,0.0,25.0,29.0,3.0,0.0,0.0,120.0,19.0,0.0,158.0,112.0,12.0,76.0,6.0,0.0,18.0,25.0,184.0,0.0,69.0,150.0,82.0,130.0,26.0,17.0,49.0,182.0,110.0,25.0,51.0,37.0,79.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8.0,0.0,20.0,11.0,9.0,13.0,35.0,15.0,40.0,22.0,10.0,115.0,12.0,14.0,42.0,56.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,17.0,26.0,11.0,0.0,6.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5.0,14.0,12.0,0.0,1.0,1.0,0.0,24.0,22.0,41.0,22.0,3.0,14.0,0.0,21.0,97.0,72.0,34.0,6.0,6.0,42.0,0.0,21.0,30.0,39.0,3.0,58.0,8.0,19.0,2.0,4.0,8.0,7.0,0.0,1.0,0.0,67.0,135.0,51.0,1.0,2.0,42.0,22.0,78.0,13.0,0.0,60.0,0.0,17.0,0.0,121.0,35.0,26.0,10.0,12.0,0.0,124.0,17.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18.0,38.0,17.0,5.0,19.0,15.0,4.0,57.0,74.0,22.0,50.0,0.0,123.0,29.0,46.0,0.0,0.0,0.0,0.0,21.0,69.0,0.0,9.0,6.0,7.0,15.0,0.0,12.0,9.0,16.0,1.0,3.0,25.0,25.0,12.0,9.0,25.0,18.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,0.0,0.0,12.0,0.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,40.0,38.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19.0,2.0,9.0,11.0,9.0,34.0,1.0,6.0,23.0,6.0,0.0,1.0,12.0,25.0,23.0,51.0,0.0,22.0,49.0,11.0,19.0,31.0,56.0,37.0,3.0,42.0,9.0,7.0,0.0,1.0,0.0,39.0,3.0,0.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,41.0,23.0,15.0,5.0,0.0,0.0,20.0,8.0,11.0,0.0,32.0,46.0,4.0,0.0,26.0,9.0,11.0,0.0,42.0,0.0,79.0,1.0,26.0,21.0,12.0,31.0,0.0,6.0,37.0,118.0,7.0,5.0,0.0,0.0,6.0,0.0,23.0,3.0,17.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,47.0,11.0,1.0,0.0,20.0,15.0,17.0,27.0,0.0,0.0,5.0,21.0,8.0,0.0,21.0,22.0,97.0,2.0,28.0,0.0,32.0,22.0,117.0,10.0,0.0,20.0,30.0,86.0,46.0,68.0,94.0,8.0,129.0,36.0,191.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25.0,28.0,8.0,2.0,0.0,26.0,41.0,0.0,1.0,18.0,43.0,0.0,1.0,0.0,0.0,8.0,16.0,36.0,117.0,91.0,0.0,0.0,0.0,0.0,30.0,80.0,35.0,51.0,25.0,32.0,23.0,0.0,5.0,10.0,58.0,0.0,20.0,27.0,7.0,0.0,2.0,62.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,224.0,32.0,0.0,0.0,161.0,152.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,23.0,11.0,33.0,0.0,4.0,21.0,48.0,44.0,34.0,34.0,0.0,0.0,0.0,94.0,45.0,83.0,0.0,25.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,72.0,126.0,176.0,57.0,0.0,28.0,42.0,37.0,41.0,193.0,12.0,0.0,5.0,1.0,12.0,44.0,12.0,8.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,80.0,19.0,12.0,0.0,10.0,39.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
26,13.0,21.0,33.0,0.0,9.0,4.0,9.0,2.0,16.0,0.0,9.0,53.0,42.0,9.0,22.0,43.0,32.0,5.0,79.0,0.0,36.0,0.0,6.0,0.0,0.0,0.0,35.0,5.0,1.0,81.0,41.0,1.0,21.0,36.0,104.0,3.0,11.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,19.0,0.0,4.0,10.0,18.0,10.0,0.0,44.0,22.0,0.0,35.0,153.0,19.0,51.0,34.0,14.0,0.0,208.0,9.0,34.0,34.0,59.0,32.0,0.0,112.0,44.0,183.0,0.0,0.0,16.0,0.0,93.0,17.0,0.0,74.0,63.0,0.0,0.0,27.0,19.0,185.0,36.0,82.0,0.0,0.0,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,31.0,16.0,0.0,0.0,18.0,0.0,14.0,13.0,0.0,24.0,22.0,25.0,25.0,19.0,7.0,33.0,52.0,11.0,43.0,0.0,0.0,12.0,31.0,0.0,38.0,14.0,4.0,78.0,0.0,10.0,9.0,0.0,16.0,0.0,0.0,14.0,91.0,41.0,29.0,0.0,18.0,0.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5.0,35.0,14.0,73.0,0.0,60.0,42.0,2.0,18.0,51.0,69.0,30.0,48.0,6.0,48.0,18.0,37.0,17.0,0.0,29.0,33.0,5.0,0.0,3.0,0.0,7.0,0.0,5.0,31.0,19.0,7.0,10.0,6.0,0.0,0.0,6.0,30.0,2.0,5.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3.0,13.0,12.0,45.0,1.0,0.0,19.0,4.0,0.0,19.0,61.0,6.0,0.0,7.0,0.0,21.0,13.0,6.0,17.0,0.0,6.0,30.0,2.0,0.0,44.0,0.0,36.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10.0,11.0,0.0,0.0,9.0,0.0,22.0,0.0,25.0,0.0,8.0,25.0,30.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,6.0,4.0,3.0,3.0,4.0,9.0,0.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20.0,15.0,0.0,10.0,10.0,11.0,9.0,38.0,9.0,0.0,34.0,10.0,7.0,10.0,3.0,12.0,32.0,0.0,17.0,73.0,19.0,63.0,0.0,0.0,30.0,0.0,0.0,0.0,234.0,5.0,2.0,13.0,87.0,85.0,53.0,128.0,8.0,11.0,30.0,28.0,55.0,83.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
