,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
13,6.0,35.0,10.0,20.0,21.0,10.0,5.0,0.0,5.0,22.0,0.0,11.0,0.0,5.0,61.0,7.0,20.0,18.0,3.0,10.0,6.0,0.0,0.0,16.0,16.0,0.0,155.0,0.0,0.0,0.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10.0,19.0,24.0,19.0,18.0,0.0,14.0,2.0,8.0,15.0,3.0,7.0,19.0,24.0,168.0,31.0,96.0,49.0,46.0,44.0,111.0,0.0,20.0,0.0,46.0,3.0,33.0,3.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,42.0,22.0,0.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,47.0,18.0,24.0,24.0,34.0,10.0,11.0,12.0,37.0,3.0,51.0,18.0,7.0,43.0,68.0,9.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14.0,10.0,13.0,7.0,0.0,11.0,23.0,37.0,47.0,23.0,0.0,21.0,38.0,15.0,0.0,0.0,6.0,2.0,10.0,33.0,25.0,0.0,19.0,0.0,64.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,27.0,29.0,22.0,7.0,0.0,1.0,28.0,8.0,9.0,11.0,0.0,0.0,0.0,17.0,6.0,9.0,7.0,35.0,12.0,6.0,5.0,0.0,0.0,18.0,21.0,10.0,54.0,0.0,0.0,9.0,8.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10.0,0.0,6.0,0.0,0.0,4.0,0.0,58.0,25.0,15.0,22.0,57.0,15.0,2.0,0.0,70.0,23.0,15.0,0.0,192.0,45.0,9.0,0.0,114.0,15.0,301.0,0.0,62.0,0.0,23.0,0.0,0.0,1.0,0.0,326.0,0.0,36.0,43.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6.0,12.0,12.0,22.0,6.0,0.0,3.0,0.0,5.0,0.0,6.0,17.0,2.0,0.0,65.0,39.0,8.0,123.0,9.0,11.0,129.0,15.0,30.0,46.0,53.0,41.0,0.0,81.0,46.0,11.0,23.0,15.0,0.0,21.0,17.0,28.0,22.0,16.0,69.0,48.0,8.0,33.0,46.0,71.0,3.0,55.0,10.0,5.0,45.0,92.0,52.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,4.0,23.0,27.0,11.0,15.0,50.0,12.0,9.0,0.0,29.0,200.0,19.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,48.0,0.0,0.0,1.0,22.0,14.0,20.0,4.0,19.0,1.0,48.0,43.0,2.0,35.0,40.0,59.0,27.0,66.0,0.0,8.0,13.0,104.0,72.0,50.0,35.0,503.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12.0,42.0,5.0,2.0,47.0,6.0,0.0,30.0,53.0,54.0,111.0,16.0,10.0,1.0,15.0,35.0,95.0,0.0,30.0,13.0,0.0,56.0,11.0,3.0,6.0,0.0,9.0,10.0,39.0,0.0,21.0,0.0,45.0,66.0,14.0,0.0,28.0,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
