,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
12,2.0,22.0,12.0,19.0,33.0,0.0,26.0,7.0,18.0,5.0,14.0,8.0,35.0,8.0,52.0,16.0,20.0,20.0,0.0,27.0,50.0,19.0,25.0,20.0,0.0,0.0,5.0,12.0,0.0,23.0,70.0,69.0,105.0,0.0,0.0,111.0,0.0,0.0,21.0,64.0,24.0,0.0,39.0,0.0,68.0,0.0,5.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17.0,24.0,30.0,49.0,2.0,21.0,3.0,18.0,12.0,0.0,21.0,40.0,44.0,42.0,24.0,33.0,14.0,132.0,13.0,35.0,26.0,17.0,0.0,0.0,19.0,7.0,27.0,18.0,0.0,0.0,28.0,0.0,56.0,28.0,4.0,0.0,0.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4.0,11.0,8.0,24.0,6.0,0.0,0.0,9.0,12.0,14.0,17.0,16.0,25.0,55.0,6.0,49.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23.0,10.0,13.0,23.0,20.0,4.0,10.0,26.0,12.0,7.0,42.0,16.0,2.0,12.0,0.0,10.0,0.0,1.0,8.0,50.0,12.0,14.0,19.0,33.0,9.0,8.0,0.0,87.0,13.0,23.0,40.0,33.0,67.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,15.0,7.0,49.0,12.0,40.0,32.0,3.0,23.0,13.0,0.0,0.0,0.0,2.0,10.0,1.0,134.0,29.0,0.0,25.0,74.0,13.0,133.0,28.0,20.0,50.0,0.0,24.0,3.0,80.0,0.0,2.0,0.0,99.0,0.0,4.0,442.0,17.0,6.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10.0,6.0,10.0,0.0,27.0,5.0,150.0,16.0,21.0,0.0,17.0,2.0,53.0,0.0,37.0,15.0,0.0,72.0,0.0,19.0,42.0,11.0,0.0,9.0,28.0,0.0,15.0,4.0,15.0,0.0,112.0,3.0,0.0,0.0,21.0,5.0,6.0,9.0,7.0,25.0,4.0,0.0,12.0,4.0,17.0,52.0,138.0,246.0,32.0,143.0,0.0,94.0,0.0,0.0,1.0,0.0,2.0,106.0,151.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,38.0,0.0,26.0,33.0,9.0,11.0,15.0,0.0,6.0,0.0,0.0,24.0,21.0,14.0,10.0,0.0,0.0,1.0,7.0,0.0,7.0,7.0,25.0,24.0,0.0,14.0,25.0,0.0,41.0,0.0,8.0,0.0,6.0,0.0,9.0,47.0,2.0,0.0,0.0,35.0,0.0,139.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,15.0,3.0,24.0,2.0,56.0,28.0,23.0,0.0,0.0,0.0,30.0,14.0,0.0,25.0,24.0,33.0,15.0,35.0,45.0,0.0,12.0,11.0,4.0,11.0,39.0,27.0,0.0,159.0,0.0,23.0,0.0,0.0,0.0,0.0,78.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,125.0,0.0,0.0,0.0,4.0,0.0,70.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,11.0,18.0,0.0,8.0,8.0,13.0,4.0,35.0,5.0,0.0,8.0,0.0,66.0,15.0,1.0,14.0,0.0,56.0,21.0,47.0,0.0,1.0,23.0,0.0,50.0,31.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,13.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,38.0,16.0,14.0,0.0,16.0,0.0,17.0,0.0,22.0,10.0,29.0,67.0,15.0,0.0,15.0,0.0,6.0,45.0,21.0,14.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6.0,1.0,18.0,14.0,0.0,0.0,8.0,2.0,22.0,0.0,6.0,0.0,19.0,44.0,0.0,0.0,34.0,8.0,87.0,0.0,0.0,0.0,20.0,7.0,21.0,40.0,16.0,83.0,0.0,249.0,54.0,15.0,118.0,8.0,105.0,207.0,0.0,0.0,0.0,588.0,41.0,276.0,5.0,11.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7.0,11.0,8.0,23.0,9.0,32.0,32.0,43.0,45.0,0.0,18.0,73.0,9.0,37.0,21.0,70.0,22.0,119.0,11.0,37.0,60.0,109.0,19.0,17.0,0.0,161.0,46.0,0.0,26.0,38.0,54.0,0.0,0.0,163.0,78.0,51.0,170.0,12.0,0.0,0.0,10.0,29.0,104.0,73.0,716.0,13.0,0.0,127.0,31.0,53.0,114.0,148.0,245.0,4.0,4.0,55.0,272.0,4.0,49.0,26.0,269.0,54.0,0.0,60.0,0.0,0.0,49.0,74.0,8.0,0.0,0.0,15.0,19.0,36.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
