,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
10,6.0,3.0,7.0,33.0,3.0,11.0,0.0,12.0,25.0,13.0,0.0,30.0,9.0,43.0,22.0,47.0,55.0,1.0,25.0,44.0,20.0,0.0,0.0,0.0,22.0,21.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,0.0,0.0,24.0,21.0,27.0,0.0,20.0,8.0,2.0,16.0,7.0,0.0,0.0,11.0,0.0,25.0,42.0,0.0,4.0,0.0,78.0,90.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4.0,0.0,19.0,51.0,25.0,6.0,14.0,75.0,7.0,0.0,13.0,28.0,0.0,0.0,23.0,3.0,69.0,35.0,38.0,11.0,76.0,0.0,16.0,52.0,2.0,0.0,0.0,34.0,0.0,25.0,0.0,0.0,79.0,58.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47.0,0.0,40.0,0.0,0.0,5.0,37.0,30.0,0.0,14.0,16.0,43.0,10.0,3.0,3.0,23.0,1.0,0.0,0.0,0.0,16.0,11.0,45.0,0.0,0.0,41.0,17.0,18.0,0.0,2.0,15.0,7.0,12.0,8.0,7.0,9.0,8.0,1.0,14.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,17.0,17.0,248.0,22.0,687.0,9.0,0.0,85.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
14,10.0,3.0,29.0,2.0,37.0,36.0,0.0,25.0,11.0,14.0,6.0,13.0,0.0,0.0,1.0,29.0,39.0,10.0,50.0,0.0,59.0,0.0,53.0,22.0,31.0,6.0,26.0,9.0,20.0,0.0,80.0,15.0,18.0,19.0,30.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.0,0.0,26.0,0.0,12.0,13.0,34.0,12.0,58.0,24.0,8.0,11.0,2.0,2.0,7.0,11.0,40.0,2.0,14.0,0.0,28.0,3.0,54.0,18.0,0.0,27.0,12.0,5.0,23.0,50.0,0.0,12.0,52.0,5.0,59.0,75.0,4.0,26.0,13.0,0.0,1.0,0.0,0.0,33.0,0.0,51.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20.0,47.0,0.0,24.0,1.0,15.0,68.0,5.0,26.0,9.0,55.0,24.0,86.0,7.0,86.0,91.0,55.0,24.0,20.0,182.0,0.0,11.0,34.0,0.0,0.0,29.0,0.0,113.0,66.0,67.0,0.0,34.0,93.0,1.0,11.0,0.0,7.0,30.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8.0,18.0,44.0,94.0,27.0,36.0,15.0,17.0,14.0,13.0,81.0,41.0,31.0,6.0,24.0,3.0,67.0,55.0,42.0,51.0,16.0,73.0,57.0,50.0,31.0,0.0,19.0,233.0,0.0,0.0,15.0,0.0,30.0,9.0,0.0,4.0,19.0,27.0,57.0,68.0,160.0,183.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12.0,19.0,6.0,3.0,0.0,29.0,10.0,5.0,50.0,20.0,0.0,16.0,50.0,7.0,8.0,12.0,24.0,33.0,0.0,145.0,0.0,0.0,44.0,22.0,9.0,0.0,104.0,45.0,59.0,142.0,0.0,14.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,23.0,41.0,15.0,21.0,9.0,10.0,3.0,4.0,23.0,19.0,0.0,8.0,7.0,1.0,24.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,136.0,1.0,0.0,84.0,32.0,15.0,19.0,0.0,15.0,0.0,101.0,15.0,0.0,0.0,0.0,1.0,16.0,27.0,2.0,27.0,0.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
