,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
10,13.0,26.0,0.0,16.0,30.0,5.0,34.0,12.0,9.0,46.0,26.0,0.0,11.0,8.0,0.0,10.0,62.0,29.0,0.0,91.0,26.0,77.0,2.0,26.0,107.0,0.0,165.0,0.0,125.0,0.0,181.0,235.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,32.0,4.0,0.0,0.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,0.0,22.0,23.0,0.0,4.0,0.0,4.0,11.0,27.0,13.0,0.0,18.0,0.0,0.0,9.0,5.0,2.0,15.0,7.0,0.0,18.0,7.0,0.0,18.0,29.0,10.0,11.0,33.0,49.0,0.0,0.0,0.0,10.0,0.0,78.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20.0,0.0,0.0,6.0,42.0,82.0,0.0,7.0,0.0,0.0,3.0,40.0,21.0,58.0,49.0,23.0,0.0,25.0,70.0,64.0,51.0,0.0,44.0,1.0,0.0,0.0,365.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,12.0,23.0,0.0,16.0,5.0,5.0,62.0,14.0,36.0,5.0,18.0,65.0,0.0,7.0,36.0,66.0,4.0,4.0,36.0,64.0,0.0,84.0,0.0,0.0,0.0,57.0,0.0,13.0,7.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,8.0,22.0,12.0,14.0,13.0,54.0,14.0,34.0,40.0,0.0,18.0,23.0,30.0,15.0,8.0,28.0,28.0,32.0,6.0,43.0,34.0,92.0,1.0,17.0,23.0,118.0,33.0,0.0,0.0,9.0,0.0,42.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24.0,0.0,58.0,30.0,0.0,13.0,13.0,3.0,17.0,42.0,120.0,11.0,25.0,4.0,23.0,0.0,103.0,12.0,24.0,23.0,0.0,0.0,34.0,25.0,54.0,30.0,5.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,17.0,0.0,0.0,8.0,0.0,261.0,14.0,16.0,16.0,3.0,0.0,9.0,8.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.0,24.0,0.0,0.0,11.0,0.0,14.0,0.0,0.0,28.0,2.0,15.0,1.0,12.0,13.0,4.0,21.0,33.0,95.0,0.0,0.0,80.0,77.0,130.0,61.0,29.0,45.0,37.0,0.0,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,24.0,0.0,59.0,5.0,25.0,25.0,0.0,1.0,75.0,25.0,29.0,0.0,55.0,0.0,31.0,76.0,0.0,89.0,5.0,0.0,0.0,52.0,11.0,21.0,16.0,0.0,24.0,36.0,0.0,28.0,66.0,0.0,42.0,0.0,0.0,0.0,0.0,10.0,113.0,0.0,11.0,21.0,3.0,3.0,0.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24.0,22.0,11.0,29.0,0.0,1.0,60.0,13.0,19.0,0.0,6.0,27.0,31.0,71.0,106.0,3.0,24.0,31.0,11.0,18.0,0.0,0.0,32.0,62.0,0.0,37.0,0.0,0.0,26.0,0.0,14.0,12.0,14.0,27.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18.0,24.0,11.0,30.0,0.0,0.0,37.0,0.0,39.0,0.0,9.0,16.0,0.0,23.0,18.0,1.0,0.0,18.0,0.0,40.0,4.0,0.0,46.0,75.0,0.0,31.0,21.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
