,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
13,5.0,21.0,6.0,0.0,15.0,11.0,17.0,10.0,3.0,59.0,26.0,38.0,80.0,0.0,0.0,27.0,1.0,9.0,334.0,160.0,71.0,28.0,131.0,108.0,0.0,0.0,23.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6.0,8.0,5.0,0.0,4.0,6.0,33.0,0.0,18.0,14.0,20.0,9.0,69.0,32.0,21.0,0.0,4.0,51.0,72.0,40.0,0.0,0.0,20.0,1.0,16.0,29.0,12.0,29.0,9.0,14.0,20.0,21.0,6.0,32.0,15.0,10.0,20.0,30.0,47.0,18.0,16.0,85.0,3.0,28.0,18.0,5.0,3.0,0.0,71.0,2.0,2.0,36.0,14.0,16.0,0.0,1.0,3.0,4.0,134.0,0.0,0.0,74.0,122.0,92.0,0.0,141.0,14.0,85.0,43.0,0.0,0.0,22.0,16.0,10.0,45.0,17.0,30.0,0.0,0.0,0.0,25.0,80.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
15,19.0,38.0,7.0,0.0,20.0,28.0,34.0,3.0,15.0,0.0,77.0,36.0,38.0,103.0,13.0,0.0,0.0,0.0,10.0,54.0,13.0,78.0,155.0,11.0,5.0,13.0,12.0,0.0,12.0,0.0,40.0,0.0,39.0,0.0,27.0,0.0,5.0,31.0,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,26.0,10.0,11.0,4.0,23.0,23.0,21.0,34.0,36.0,34.0,0.0,4.0,35.0,77.0,9.0,13.0,3.0,0.0,0.0,0.0,13.0,7.0,0.0,7.0,12.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4.0,4.0,12.0,16.0,0.0,0.0,58.0,53.0,29.0,109.0,51.0,5.0,3.0,13.0,9.0,11.0,0.0,17.0,21.0,14.0,40.0,0.0,23.0,15.0,35.0,13.0,34.0,14.0,1.0,24.0,69.0,0.0,56.0,26.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,7.0,0.0,7.0,7.0,0.0,3.0,84.0,102.0,0.0,6.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14.0,0.0,21.0,20.0,23.0,16.0,0.0,6.0,2.0,10.0,30.0,0.0,0.0,5.0,16.0,31.0,7.0,73.0,0.0,32.0,30.0,56.0,8.0,64.0,1.0,7.0,24.0,8.0,17.0,77.0,0.0,26.0,11.0,40.0,1.0,32.0,2.0,18.0,20.0,13.0,45.0,0.0,1.0,96.0,58.0,17.0,11.0,0.0,0.0,15.0,18.0,4.0,0.0,61.0,18.0,27.0,2.0,0.0,6.0,13.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3.0,28.0,43.0,26.0,41.0,17.0,10.0,14.0,53.0,49.0,39.0,42.0,40.0,53.0,20.0,0.0,0.0,0.0,0.0,0.0,133.0,203.0,0.0,0.0,27.0,13.0,105.0,51.0,23.0,12.0,0.0,42.0,440.0,0.0,42.0,47.0,98.0,47.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,47.0,10.0,44.0,13.0,17.0,16.0,3.0,1.0,16.0,17.0,45.0,8.0,37.0,0.0,10.0,11.0,26.0,0.0,45.0,56.0,31.0,44.0,18.0,19.0,12.0,27.0,31.0,2.0,45.0,0.0,0.0,2.0,30.0,0.0,142.0,201.0,56.0,1.0,74.0,23.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,142.0,0.0,125.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,18.0,4.0,5.0,29.0,0.0,12.0,8.0,8.0,29.0,22.0,32.0,30.0,9.0,36.0,29.0,17.0,37.0,2.0,6.0,0.0,0.0,55.0,4.0,0.0,104.0,68.0,0.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,18.0,31.0,36.0,4.0,11.0,0.0,16.0,47.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5.0,0.0,0.0,8.0,9.0,33.0,10.0,4.0,28.0,9.0,90.0,0.0,14.0,0.0,0.0,59.0,8.0,11.0,25.0,0.0,29.0,135.0,4.0,52.0,44.0,1.0,0.0,32.0,4.0,136.0,0.0,18.0,57.0,77.0,56.0,40.0,23.0,109.0,0.0,70.0,53.0,7.0,7.0,120.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
