,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
11,25.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.0,7.0,3.0,18.0,7.0,24.0,8.0,0.0,0.0,20.0,14.0,17.0,5.0,3.0,5.0,0.0,22.0,25.0,0.0,7.0,31.0,19.0,42.0,0.0,6.0,0.0,60.0,8.0,76.0,4.0,131.0,0.0,15.0,11.0,6.0,26.0,0.0,265.0,72.0,0.0,0.0,3.0,48.0,0.0,6.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4.0,25.0,49.0,0.0,0.0,42.0,0.0,6.0,7.0,10.0,4.0,23.0,45.0,57.0,12.0,0.0,0.0,0.0,73.0,19.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12.0,44.0,26.0,10.0,0.0,0.0,32.0,0.0,0.0,23.0,9.0,50.0,40.0,30.0,0.0,23.0,0.0,0.0,7.0,0.0,14.0,16.0,1.0,19.0,3.0,7.0,15.0,10.0,1.0,0.0,0.0,0.0,10.0,12.0,7.0,29.0,0.0,16.0,5.0,2.0,22.0,0.0,12.0,9.0,0.0,11.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,16.0,21.0,5.0,0.0,2.0,8.0,30.0,18.0,2.0,0.0,16.0,0.0,15.0,17.0,0.0,43.0,23.0,70.0,135.0,112.0,79.0,114.0,70.0,2.0,22.0,82.0,60.0,8.0,0.0,27.0,88.0,0.0,0.0,17.0,7.0,20.0,42.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21.0,0.0,0.0,9.0,1.0,26.0,0.0,0.0,9.0,0.0,10.0,14.0,4.0,21.0,10.0,15.0,13.0,0.0,46.0,13.0,48.0,0.0,0.0,24.0,0.0,10.0,41.0,0.0,13.0,0.0,0.0,29.0,3.0,12.0,41.0,0.0,50.0,0.0,152.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,33.0,8.0,0.0,27.0,26.0,47.0,11.0,33.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,26.0,0.0,0.0,27.0,0.0,2.0,0.0,13.0,14.0,0.0,24.0,22.0,23.0,17.0,11.0,0.0,0.0,34.0,0.0,22.0,8.0,17.0,13.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12.0,22.0,0.0,1.0,7.0,0.0,23.0,0.0,3.0,0.0,3.0,8.0,31.0,14.0,19.0,11.0,0.0,2.0,28.0,0.0,5.0,8.0,32.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,33.0,20.0,14.0,24.0,0.0,0.0,32.0,0.0,40.0,17.0,36.0,0.0,44.0,8.0,13.0,3.0,5.0,13.0,0.0,0.0,3.0,136.0,0.0,22.0,0.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
