,WhiteWL
0,0
1,-1
2,1
3,-1
4,0
5,1
6,-1
7,1
8,-1
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,-1
18,1
19,0
20,1
21,-1
22,0
23,1
24,0
25,0
26,1
27,-1
28,1
29,-1
30,1
31,-1
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,-1
41,-1
42,-1
43,1
44,-1
45,0
46,0
47,-1
48,0
49,0
50,0
51,0
52,-1
53,0
54,1
55,0
56,0
57,0
58,-1
59,0
60,0
61,1
62,1
63,-1
64,1
65,0
66,0
67,1
68,0
69,0
70,0
