,WhiteWL
0,1
1,0
2,0
3,-1
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,-1
16,1
17,0
18,-1
19,0
20,0
21,0
22,-1
23,1
24,-1
25,1
26,-1
27,0
28,0
29,1
30,-1
31,1
32,1
33,1
34,0
35,0
36,1
37,-1
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,-1
51,0
52,0
53,0
54,0
55,-1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,-1
64,0
65,0
66,1
