,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
0,27,23,31.727272727272727,64.28908679364717,2805,2762,-1,-1,ding
1,27,23,34.083333333333336,62.55620330094029,2805,2767,-1,1,ding
2,27,23,33.672413793103445,52.57588932135181,2805,2842,1,1,ding
3,27,23,7.463414634146342,10.81225591857594,2805,2763,0,0,ding
4,27,23,8.867924528301886,12.095831665764123,2805,2777,0,0,ding
5,27,23,29.35897435897436,61.56446650270336,2805,2774,-1,1,ding
6,27,23,15.051282051282053,22.81729343923239,2805,2698,0,0,ding
7,28,24,3.814814814814815,6.633464328904545,2805,2762,0,0,ding
8,28,24,16.183908045977013,30.332471178679107,2805,2767,0,0,ding
9,28,24,15.125,15.594521556113948,2805,2842,0,0,ding
10,28,24,58.10714285714285,86.20962362955314,2805,2763,-1,1,ding
11,28,24,13.521739130434783,15.570255304314887,2805,2777,1,1,ding
12,28,24,19.59016393442623,30.95554718688306,2805,2698,1,-1,ding
13,28,24,13.235294117647058,20.247048155269017,2805,2774,1,1,ding
14,29,25,23.945945945945947,36.12781780317238,2799,2616,1,-1,ding
15,29,25,7.6,6.43255608430877,2799,2616,0,0,ding
16,29,25,8.764705882352942,8.825097899806918,2799,2616,0,0,ding
17,29,25,11.475,17.188230170970375,2799,2616,1,1,ding
18,29,25,31.232558139534884,73.73951489931179,2799,2579,1,1,ding
19,29,25,24.25,44.503820060754336,2799,2564,1,1,ding
20,29,25,20.65217391304348,33.40007810456892,2799,2593,1,-1,ding
21,29,25,15.346153846153848,26.094011494928026,2799,2579,1,-1,ding
22,29,25,8.512195121951219,12.393792702840228,2799,2564,0,0,ding
23,29,25,15.857142857142858,18.871302297938207,2799,2593,1,1,ding
24,29,25,19.828125,24.42127272498173,2799,2579,1,1,ding
25,29,25,18.323529411764707,23.49818895437417,2799,2564,1,1,ding
26,29,25,7.643835616438356,9.41979278937838,2799,2593,0,0,ding
27,29,25,19.51428571428572,29.01355811722941,2799,2579,0,0,ding
28,29,25,29.80701754385965,65.047905038323,2799,2564,1,-1,ding
29,29,25,21.956521739130437,33.33997035374215,2799,2593,1,1,ding
30,29,25,14.25,17.63336934013787,2799,2729,0,0,ding
31,29,25,12.325,12.584865758276733,2799,2729,0,0,ding
32,29,25,5.560975609756097,9.568303873957502,2799,2729,0,0,ding
33,29,25,8.448275862068966,8.95060335913791,2799,2729,0,0,ding
34,29,25,16.151515151515152,26.18816671242138,2799,2729,0,0,ding
35,29,25,25.4,31.555242564957936,2799,2729,1,1,ding
36,29,25,7.5,9.416603092044577,2799,2645,0,0,ding
37,29,25,19.775,23.01447426384156,2799,2564,1,1,ding
38,29,25,6.266666666666667,13.436782592450532,2799,2729,0,0,ding
39,29,25,6.2,6.59679066355933,2799,2708,0,0,ding
40,29,25,14.542168674698797,22.97734897613738,2799,2640,1,1,ding
41,29,25,7.171428571428572,10.847839888756695,2799,2564,0,0,ding
42,29,25,10.933333333333334,15.373235301535058,2799,2729,0,0,ding
43,29,25,10.359375,20.05339474685061,2799,2640,1,-1,ding
44,29,25,10.033333333333331,11.115330616434388,2799,2708,0,0,ding
45,29,25,39.25806451612903,55.62611361697879,2806,2766,-1,-1,ding
46,29,25,17.585365853658537,19.098397327728964,2806,2750,0,0,ding
47,29,25,21.692307692307693,41.594631388243926,2806,2764,0,0,ding
48,29,25,9.77777777777778,14.51855814004785,2806,2783,0,0,ding
49,29,25,18.84,30.24347458712442,2806,2753,0,0,ding
50,29,25,11.214285714285714,14.091228398192786,2806,2760,0,0,ding
51,29,25,7.716981132075472,9.28890437873754,2806,2793,0,0,ding
52,29,25,5.162162162162162,7.232309887325509,2806,2766,0,0,ding
53,29,25,14.033333333333331,22.126727964059217,2806,2750,1,1,ding
54,29,25,16.054545454545455,21.45833014612117,2806,2764,1,-1,ding
55,29,25,18.78205128205128,27.63474541549377,2806,2783,1,-1,ding
56,29,25,69.88,81.97424392250694,2806,2753,-1,-1,ding
57,29,25,7.285714285714286,9.81856309164783,2806,2793,0,0,ding
58,29,25,24.49122807017544,44.97821806442121,2806,2760,1,1,ding
